교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
4517,-,동진교,001,0,230,236-17대,200,200,001,002,-,-,-,001,109,82-0000001704,,4351793    ,1704,10200,-,N,-,-,202540.289943769,552708.548843039
4518,-,신설동역(연등),001,52,230,92-34도,150,200,001,002,-,-,-,001,109,82-0000001705,,-,1705,10100,-,N,-,-,202140.90393359,552840.426749569
4519,-,청계8가(연등)2,001,471,230,101-6대,200,200,001,002,-,-,-,001,109,82-0000004539,,4341763    ,4539,10100,-,N,-,-,202062.700875697,552579.188602916
4520,-,지봉로8길입구(연등)2,003,4521,110,56-58대,150,150,001,002,-,-,-,001,107,82-0000004311,,4331494    ,4311,17500,-,N,-,-,201385.83734811,552748.100786678
4521,-,창신초교,001,0,110,32-2구,-,150,001,002,-,-,-,001,107,82-0000004950,,-,4950,17500,-,N,-,-,201372.412919422,552977.606785361
4522,-,창신3동주민센터,003,4522,110,2-1 대,150,150,001,002,-,-,-,001,107,82-0000003343,,4332383    ,3343,17500,-,N,-,-,201357.095004199,553170.97576813
4523,-,쌍용아파트,001,0,290,산3-12임,190,190,001,002,-,-,-,002,107,82-0000004951,,-,4951,11200,-,N,-,-,201084.590070278,553552.282160367
4524,-,종로6가,001,0,110,-,150,150,001,002,-,-,-,001,107,82-0000000483,,4311722    ,483,16400,-,N,-,-,200573.033462677,552396.735623814
4525,-,동진빌딩,001,0,230,764-14도,200,200,001,002,-,-,-,001,109,82-0000001895,,4352143    ,1895,10100,-,N,-,-,202254.454129439,552980.330200813
4526,-,안암교,001,0,230,194-4 대,200,200,001,002,-,-,-,001,109,82-0000000484,,4352662    ,484,10200,-,N,-,-,202478.47620547,553059.464083719
4527,-,용두동사거리(연등),001,362,230,150-32도,150,200,001,002,-,-,-,001,109,82-0000001896,,-,1896,10200,-,N,-,-,202676.417891724,553239.810188586
4528,-,필현빌딩,001,569,110,76 대,150,150,001,002,-,-,-,001,107,82-0000000485,,4331435    ,485,17400,-,N,-,-,201395.175430001,552403.143827731
4529,-,한화생명신설동사옥,001,4108,230,92-34도,200,200,001,002,-,-,-,001,109,82-0000002033,,4352101    ,2033,10100,-,N,-,-,202263.007988516,552771.422990144
4530,-,서울시동부병원,001,657,230,237-10도,150,200,001,002,-,-,-,001,109,82-0000001706,,-,1706,10200,-,N,-,-,202703.89819668,552885.479471526
4531,-,성균관대입구,001,0,110,-,150,150,001,002,-,-,-,001,107,82-0000000486,,4303494    ,486,17100,-,N,-,-,199892.836758649,553720.599067825
4532,-,신서초교(연등),001,3953,470,1094도,350,350,001,002,-,-,-,002,104,82-0000004452,,-,4452,10100,-,N,-,-,187984.980851584,546997.362571402
4533,-,목동힐스테이트,001,-,470,1093도,350,350,001,002,-,-,-,002,104,82-0000002007,,1250532    ,2007,10100,-,N,-,-,187471.262659029,546925.335873963
4534,-,신월보람아파트,003,0,470,824도,350,350,001,002,-,-,-,001,104,82-0000000477,,-,477,10300,-,N,-,-,185402.340370134,547827.319168896
4535,-,곰달래사거리,003,0,500,662-17도,350,350,001,002,-,-,-,001,104,82-0000004536,,1222022    ,4536,10300,-,N,-,-,185709.18721,547852.167839863
4536,-,신강초교,001,0,470,949-9구,350,350,001,002,-,-,-,002,104,82-0000003053,,1221512    ,3053,10300,-,N,-,-,185950.624637828,547346.947074519
4537,-,서룡빌라,003,3974,470,849도,350,350,001,002,-,-,-,001,104,82-0000002747,,1220332    ,2747,10300,-,N,-,-,185858.865739892,546904.849399207
4538,-,강서초교,003,3974,470,871도,350,350,001,002,-,-,-,001,104,82-0000003330,,1220941    ,3330,10300,-,N,-,-,186127.48176779,546985.592967652
4539,-,양강중(연등)3,001,180,470,887도,350,350,001,002,-,-,-,001,104,82-0000004309,,-,4309,10300,-,N,-,-,186638.03994049,547132.856325149
4540,-,창천교회,001,872,410,30-18도,140,140,001,002,-,-,-,002,108,82-0000001696,,-,1696,0    ,-,N,-,-,194428.905443493,551051.817757616
4545,-,다복마트,001,0,470,845-19 공,350,350,001,002,-,-,-,001,104,82-0000004537,,1251162    ,4537,10100,-,N,-,-,187275.17702579,547555.381207734
4546,-,팔래스힐,001,0,470,851-21대,350,350,001,002,-,-,-,002,104,82-0000000478,,1241962    ,478,10100,-,N,-,-,187133.714805634,547580.903066156
4547,-,마포소방서(연등),001,924,440,68-12천,210,210,001,002,-,-,-,002,108,82-0000001525,,-,1525,11100,-,N,-,-,194067.417589622,549960.496701833
