method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,7,5,6,bo_r07_005_tl12_dt37_ge0_qr26_tau90,12,37,0,0.26,0.9,0.00,494.68,1000044.97,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2423,1,52,278121.45,-599445.59,1155688.49,171.11,142.63,ei,global,False,global_ei,0.8393030548104906,87.52,19.51,13.88,20.14,15.62,87.52,34.73,87.52,31.90,4.47187444,5,0.609431,44.97,,,
BO,20260607,7,6,6,bo_r07_006_tl108_dt194_ge50_qr5_tau85,108,194,50,0.05,0.85,0.00,460.58,1000041.87,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,176,1,25,68406.90,-593804.89,730618.69,0.00,0.00,ei,global,False,space_filling,0.6811954872520948,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.86436079,5,0.803116,41.87,,,
BO,20260607,8,1,6,bo_r08_001_tl78_dt26_ge5_qr100_tau90,78,26,5,1.0,0.9,0.00,492.61,1000044.78,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2722,0,37,149188.88,-122322.10,420699.87,59.39,38.81,surrogate_mean_rank,stable_success,False,stable,0.36326406027232505,36.20,10.51,7.15,8.76,7.45,36.20,15.48,36.20,14.26,3.58912684,5,0.931696,44.78,,,
BO,20260607,8,2,6,bo_r08_002_tl78_dt26_ge5_qr100_tau88,78,26,5,1.0,0.88,0.00,492.61,1000044.78,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2722,0,37,287663.51,-22789.94,598116.96,38.06,37.16,surrogate_mean_rank,stable_success,False,stable,0.3477362943807778,33.85,9.88,6.71,8.22,6.95,33.85,14.38,33.85,13.33,3.52204451,5,0.909696,44.78,,,
BO,20260607,8,3,6,bo_r08_003_tl81_dt1_ge13_qr100_tau90,81,1,13,1.0,0.9,0.00,479.50,1000043.59,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,4936,0,10,398775.26,-519620.52,1317171.03,230.00,140.12,ei,local,False,local_constrained,0.6095078120670153,136.07,40.23,27.31,33.05,28.28,136.07,58.49,136.07,53.90,4.91319371,5,0.970643,43.59,,,
BO,20260607,8,4,6,bo_r08_004_tl85_dt20_ge13_qr100_tau89,85,20,13,1.0,0.89,242.92,455.99,262.29,248.09,0.00,PASS,,recovery_detected,True,False,0,3118,0,32,428426.08,-486633.84,1343485.99,221.42,136.35,ei,local,False,local_constrained,0.6162186445300886,131.22,39.30,26.57,32.06,27.32,131.22,56.12,131.22,52.10,4.87686043,5,0.961719,262.29,,,
BO,20260607,8,5,6,bo_r08_005_tl23_dt210_ge17_qr40_tau71,23,210,17,0.4,0.71,0.00,481.24,1000043.75,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,368,1,43,333581.16,-590045.29,1257207.61,280.99,195.64,ei,global,False,global_ei,0.7028745706816362,90.84,22.41,15.03,22.53,15.21,90.84,30.79,90.84,32.80,4.50912406,5,0.459951,43.75,,,
BO,20260607,8,6,6,bo_r08_006_tl112_dt74_ge50_qr11_tau72,112,74,50,0.11,0.72,456.92,316.57,444.16,248.09,0.00,PASS,,recovery_timeout,True,False,0,541,1,36,333775.14,-589851.62,1257401.91,92.97,26.63,ei,global,False,space_filling,0.28785613425049483,19.19,7.49,4.69,5.40,4.09,19.19,6.99,19.19,7.97,2.95424626,5,0.716927,444.16,,,
BO,20260607,9,1,6,bo_r09_001_tl84_dt20_ge5_qr100_tau90,84,20,5,1.0,0.9,263.92,456.87,281.46,248.09,0.00,PASS,,recovery_detected,True,False,0,3243,0,40,191394.08,-99568.22,482356.38,24.89,24.07,surrogate_mean_rank,stable_success,False,stable,0.25401488620534274,22.76,6.73,4.56,5.54,4.71,22.76,9.73,22.76,9.01,3.12518172,5,0.944821,281.46,,,
BO,20260607,9,2,6,bo_r09_002_tl84_dt26_ge5_qr100_tau90,84,26,5,1.0,0.9,0.00,492.61,1000044.78,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2722,0,37,356010.49,-53845.60,765866.58,22.11,22.47,surrogate_mean_rank,stable_success,False,stable,0.2377551020408164,21.22,6.27,4.25,5.16,4.39,21.22,9.06,21.22,8.39,3.05479490,5,0.943080,44.78,,,
BO,20260607,9,3,6,bo_r09_003_tl80_dt15_ge0_qr81_tau90,80,15,0,0.81,0.9,0.00,492.14,1000044.74,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,3461,1,37,467084.47,-475306.06,1409475.01,204.87,112.01,ei,local,False,local_constrained,0.5479271979278086,98.43,29.07,19.63,24.10,20.14,98.43,41.30,98.43,38.78,4.58932524,5,0.876833,44.74,,,
BO,20260607,9,4,6,bo_r09_004_tl95_dt7_ge2_qr80_tau90,95,7,2,0.8,0.9,311.92,437.49,323.34,248.09,0.00,PASS,,recovery_detected,True,False,0,4439,1,20,399490.89,-546835.25,1345817.02,193.24,108.34,ei,local,False,local_constrained,0.5615072474845452,98.93,30.65,20.49,24.62,20.61,98.93,41.44,98.93,39.46,4.59439789,5,0.911714,323.34,,,
BO,20260607,9,5,6,bo_r09_005_tl72_dt106_ge2_qr39_tau88,72,106,2,0.39,0.88,333.92,431.97,342.83,248.09,0.00,PASS,,recovery_detected,True,False,0,1102,1,102,375399.39,-573152.19,1323950.97,278.28,189.60,ei,global,False,global_ei,0.684681241624773,136.98,40.99,27.27,34.36,27.16,136.98,54.09,136.98,53.47,4.91987065,5,0.718948,342.83,,,
BO,20260607,9,6,6,bo_r09_006_tl0_dt182_ge46_qr100_tau89,0,182,46,1.0,0.89,0.00,477.13,1000043.38,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,682,0,23,386690.65,-561703.59,1335084.89,285.06,56.97,ei,global,False,space_filling,0.20034381835458495,49.15,11.03,8.05,10.89,9.45,49.15,21.69,49.15,18.38,3.89494999,5,0.860688,43.38,,,
