input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,16,bo_r16_006_tl13_dt33_ge40_qr3_tau79,13,33,40,0.03,0.79,113.92,114.37,0.91,0.09,10:1,113.96,,,113.92,114.37,,1,18
BO,20260607,17,bo_r17_001_tl0_dt30_ge42_qr7_tau81,0,30,42,0.07,0.81,94.92,103.69,0.91,0.09,10:1,95.72,,,94.92,103.69,,1,17
BO,20260607,17,bo_r17_002_tl9_dt24_ge39_qr23_tau78,9,24,39,0.23,0.78,164.92,112.27,0.91,0.09,10:1,160.13,,,164.92,112.27,,1,20
BO,20260607,17,bo_r17_003_tl0_dt35_ge37_qr16_tau80,0,35,37,0.16,0.8,162.92,113.50,0.91,0.09,10:1,158.43,,,162.92,113.50,,1,22
BO,20260607,17,bo_r17_004_tl0_dt18_ge37_qr14_tau78,0,18,37,0.14,0.78,166.92,119.70,0.91,0.09,10:1,162.63,,,166.92,119.70,,1,20
BO,20260607,17,bo_r17_005_tl12_dt44_ge42_qr15_tau78,12,44,42,0.15,0.78,113.92,124.61,0.91,0.09,10:1,114.89,,,113.92,124.61,,1,19
BO,20260607,17,bo_r17_006_tl1_dt7_ge40_qr28_tau80,1,7,40,0.28,0.8,163.92,113.51,0.91,0.09,10:1,159.34,,,163.92,113.51,,1,18
BO,20260607,18,bo_r18_001_tl36_dt35_ge29_qr39_tau80,36,35,29,0.39,0.8,112.92,110.39,0.91,0.09,10:1,112.69,,,112.92,110.39,,0,25
BO,20260607,18,bo_r18_002_tl40_dt33_ge28_qr37_tau82,40,33,28,0.37,0.82,138.92,107.94,0.91,0.09,10:1,136.10,,,138.92,107.94,,0,27
BO,20260607,18,bo_r18_003_tl3_dt57_ge44_qr1_tau81,3,57,44,0.01,0.81,190.92,108.89,0.91,0.09,10:1,183.46,,,190.92,108.89,,1,26
BO,20260607,18,bo_r18_004_tl39_dt34_ge38_qr36_tau82,39,34,38,0.36,0.82,138.92,111.45,0.91,0.09,10:1,136.42,,,138.92,111.45,,0,20
BO,20260607,18,bo_r18_005_tl30_dt27_ge41_qr27_tau81,30,27,41,0.27,0.81,95.92,114.41,0.91,0.09,10:1,97.60,,,95.92,114.41,,1,17
BO,20260607,18,bo_r18_006_tl38_dt32_ge42_qr27_tau80,38,32,42,0.27,0.8,138.92,108.15,0.91,0.09,10:1,136.12,,,138.92,108.15,,1,19
BO,20260607,19,bo_r19_001_tl67_dt14_ge35_qr75_tau71,67,14,35,0.75,0.71,144.92,104.76,0.91,0.09,10:1,141.27,,,144.92,104.76,,0,17
BO,20260607,19,bo_r19_002_tl58_dt14_ge48_qr83_tau70,58,14,48,0.83,0.7,144.92,104.76,0.91,0.09,10:1,141.27,,,144.92,104.76,,0,17
BO,20260607,19,bo_r19_003_tl38_dt29_ge36_qr11_tau81,38,29,36,0.11,0.81,143.92,114.36,0.91,0.09,10:1,141.23,,,143.92,114.36,,1,21
BO,20260607,19,bo_r19_004_tl8_dt108_ge31_qr46_tau80,8,108,31,0.46,0.8,192.92,111.51,0.91,0.09,10:1,185.52,,,192.92,111.51,,0,31
BO,20260607,19,bo_r19_005_tl4_dt16_ge42_qr14_tau82,4,16,42,0.14,0.82,138.92,112.08,0.91,0.09,10:1,136.48,,,138.92,112.08,,1,18
BO,20260607,19,bo_r19_006_tl33_dt29_ge32_qr24_tau80,33,29,32,0.24,0.8,144.92,112.03,0.91,0.09,10:1,141.93,,,144.92,112.03,,1,24
BO,20260607,20,bo_r20_001_tl26_dt25_ge27_qr14_tau80,26,25,27,0.14,0.8,138.92,111.17,0.91,0.09,10:1,136.40,,,138.92,111.17,,1,22
BO,20260607,20,bo_r20_002_tl30_dt28_ge28_qr1_tau82,30,28,28,0.01,0.82,91.92,120.50,0.91,0.09,10:1,94.52,,,91.92,120.50,,1,20
BO,20260607,20,bo_r20_003_tl37_dt24_ge37_qr25_tau81,37,24,37,0.25,0.81,144.92,112.00,0.91,0.09,10:1,141.93,,,144.92,112.00,,1,19
BO,20260607,20,bo_r20_004_tl18_dt21_ge27_qr12_tau77,18,21,27,0.12,0.77,145.92,112.31,0.91,0.09,10:1,142.86,,,145.92,112.31,,1,19
BO,20260607,20,bo_r20_005_tl41_dt22_ge38_qr24_tau80,41,22,38,0.24,0.8,93.92,114.24,0.91,0.09,10:1,95.77,,,93.92,114.24,,1,17
BO,20260607,20,bo_r20_006_tl17_dt22_ge28_qr10_tau76,17,22,28,0.1,0.76,148.92,114.35,0.91,0.09,10:1,145.78,,,148.92,114.35,,1,19
BO,20260607,21,bo_r21_001_tl30_dt36_ge39_qr20_tau80,30,36,39,0.2,0.8,136.92,118.69,0.91,0.09,10:1,135.26,,,136.92,118.69,,1,22
BO,20260607,21,bo_r21_002_tl30_dt29_ge31_qr7_tau84,30,29,31,0.07,0.84,144.92,112.87,0.91,0.09,10:1,142.01,,,144.92,112.87,,1,24
BO,20260607,21,bo_r21_003_tl36_dt26_ge29_qr7_tau86,36,26,29,0.07,0.86,92.92,116.88,0.91,0.09,10:1,95.10,,,92.92,116.88,,1,18
BO,20260607,21,bo_r21_004_tl60_dt41_ge39_qr23_tau80,60,41,39,0.23,0.8,136.92,120.35,0.91,0.09,10:1,135.41,,,136.92,120.35,,1,25
BO,20260607,21,bo_r21_005_tl38_dt35_ge38_qr23_tau82,38,35,38,0.23,0.82,114.92,118.36,0.91,0.09,10:1,115.23,,,114.92,118.36,,1,21
BO,20260607,21,bo_r21_006_tl47_dt32_ge39_qr12_tau79,47,32,39,0.12,0.79,114.92,115.66,0.91,0.09,10:1,114.99,,,114.92,115.66,,1,20
BO,20260607,22,bo_r22_001_tl40_dt28_ge39_qr21_tau81,40,28,39,0.21,0.81,90.92,123.09,0.91,0.09,10:1,93.84,,,90.92,123.09,,1,17
BO,20260607,22,bo_r22_002_tl42_dt18_ge29_qr6_tau83,42,18,29,0.06,0.83,144.92,119.92,0.91,0.09,10:1,142.65,,,144.92,119.92,,1,19
BO,20260607,22,bo_r22_003_tl49_dt20_ge40_qr22_tau81,49,20,40,0.22,0.81,91.92,116.91,0.91,0.09,10:1,94.19,,,91.92,116.91,,1,17
BO,20260607,22,bo_r22_004_tl25_dt15_ge29_qr14_tau84,25,15,29,0.14,0.84,137.92,110.41,0.91,0.09,10:1,135.42,,,137.92,110.41,,1,18
BO,20260607,22,bo_r22_005_tl34_dt17_ge29_qr25_tau82,34,17,29,0.25,0.82,137.92,119.93,0.91,0.09,10:1,136.28,,,137.92,119.93,,1,18
BO,20260607,22,bo_r22_006_tl41_dt21_ge30_qr32_tau83,41,21,30,0.32,0.83,157.92,111.47,0.91,0.09,10:1,153.70,,,157.92,111.47,,0,17
BO,20260607,23,bo_r23_001_tl43_dt31_ge39_qr5_tau85,43,31,39,0.05,0.85,115.92,115.23,0.91,0.09,10:1,115.86,,,115.92,115.23,,1,18
BO,20260607,23,bo_r23_002_tl41_dt25_ge39_qr22_tau80,41,25,39,0.22,0.8,94.92,116.27,0.91,0.09,10:1,96.86,,,94.92,116.27,,1,17
BO,20260607,23,bo_r23_003_tl36_dt23_ge39_qr53_tau79,36,23,39,0.53,0.79,144.92,103.85,0.91,0.09,10:1,141.19,,,144.92,103.85,,0,17
BO,20260607,23,bo_r23_004_tl40_dt47_ge29_qr6_tau90,40,47,29,0.06,0.9,183.92,109.22,0.91,0.09,10:1,177.13,,,183.92,109.22,,1,33
BO,20260607,23,bo_r23_005_tl13_dt21_ge45_qr15_tau87,13,21,45,0.15,0.87,138.92,109.76,0.91,0.09,10:1,136.27,,,138.92,109.76,,1,17
BO,20260607,23,bo_r23_006_tl101_dt20_ge40_qr64_tau76,101,20,40,0.64,0.76,144.92,104.16,0.91,0.09,10:1,141.21,,,144.92,104.16,,0,19
BO,20260607,24,bo_r24_001_tl52_dt29_ge38_qr44_tau83,52,29,38,0.44,0.83,137.92,124.30,0.91,0.09,10:1,136.68,,,137.92,124.30,,0,20
BO,20260607,24,bo_r24_002_tl43_dt26_ge35_qr34_tau82,43,26,35,0.34,0.82,138.92,112.64,0.91,0.09,10:1,136.53,,,138.92,112.64,,0,19
BO,20260607,24,bo_r24_003_tl57_dt25_ge37_qr23_tau84,57,25,37,0.23,0.84,94.92,116.27,0.91,0.09,10:1,96.86,,,94.92,116.27,,1,17
BO,20260607,24,bo_r24_004_tl53_dt21_ge36_qr24_tau79,53,21,36,0.24,0.79,138.92,109.76,0.91,0.09,10:1,136.27,,,138.92,109.76,,1,17
BO,20260607,24,bo_r24_005_tl43_dt29_ge36_qr37_tau81,43,29,36,0.37,0.81,144.92,107.67,0.91,0.09,10:1,141.53,,,144.92,107.67,,0,21
BO,20260607,24,bo_r24_006_tl46_dt34_ge38_qr27_tau82,46,34,38,0.27,0.82,115.92,120.32,0.91,0.09,10:1,116.32,,,115.92,120.32,,1,21
BO,20260607,25,bo_r25_001_tl61_dt29_ge39_qr18_tau85,61,29,39,0.18,0.85,111.92,118.07,0.91,0.09,10:1,112.48,,,111.92,118.07,,1,18
BO,20260607,25,bo_r25_002_tl40_dt15_ge40_qr22_tau85,40,15,40,0.22,0.85,137.92,110.41,0.91,0.09,10:1,135.42,,,137.92,110.41,,1,18
BO,20260607,25,bo_r25_003_tl40_dt22_ge40_qr23_tau82,40,22,40,0.23,0.82,93.92,114.24,0.91,0.09,10:1,95.77,,,93.92,114.24,,1,17
