method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,15,6,6,bo_r15_006_tl37_dt28_ge36_qr21_tau81,37,28,36,0.21,0.81,93.73,93.63,215.14,46.78,383.50,15.53,15.26,10.26,2.90,1.95,2.54,1.97,10.26,4.98,10.26,4.10,2.32802350,5,0.660388
BO,20260607,16,1,6,bo_r16_001_tl3_dt62_ge46_qr90_tau83,3,62,46,0.9,0.83,265.27,93.63,208.03,37.06,379.01,16.30,16.14,13.24,3.11,2.23,3.00,2.54,13.24,7.13,13.24,5.21,2.58298407,5,0.812209
BO,20260607,16,2,6,bo_r16_002_tl23_dt45_ge42_qr24_tau78,23,45,42,0.24,0.78,114.89,93.63,208.03,37.06,379.01,13.81,13.54,8.63,2.33,1.58,2.12,1.62,8.63,4.16,8.63,3.41,2.15576063,5,0.625174
BO,20260607,16,3,6,bo_r16_003_tl13_dt60_ge47_qr45_tau75,13,60,47,0.45,0.75,154.41,93.63,208.03,37.06,379.01,13.00,12.76,8.29,2.13,1.46,1.99,1.54,8.29,4.06,8.29,3.25,2.11488942,5,0.637410
BO,20260607,16,4,6,bo_r16_004_tl17_dt23_ge35_qr0_tau81,17,23,35,0.0,0.81,142.14,93.63,208.03,37.06,379.01,12.46,12.18,7.14,1.88,1.27,1.75,1.30,7.14,3.34,7.14,2.78,1.96571117,5,0.573234
BO,20260607,16,5,6,bo_r16_005_tl28_dt40_ge42_qr16_tau80,28,40,42,0.16,0.8,110.77,93.63,208.03,37.06,379.01,12.39,12.16,7.91,2.19,1.47,1.95,1.50,7.91,3.81,7.91,3.14,2.06758547,5,0.638015
BO,20260607,16,6,6,bo_r16_006_tl13_dt33_ge40_qr3_tau79,13,33,40,0.03,0.79,113.96,93.63,208.03,37.06,379.01,11.80,11.53,6.67,1.74,1.17,1.63,1.21,6.67,3.10,6.67,2.59,1.89710450,5,0.565052
BO,20260607,17,1,6,bo_r17_001_tl0_dt30_ge42_qr7_tau81,0,30,42,0.07,0.81,95.72,93.63,204.42,34.55,374.29,12.25,11.98,7.12,1.72,1.19,1.69,1.28,7.12,3.41,7.12,2.74,1.96307041,5,0.581308
BO,20260607,17,2,6,bo_r17_002_tl9_dt24_ge39_qr23_tau78,9,24,39,0.23,0.78,160.13,93.63,204.42,34.55,374.29,11.42,11.18,6.79,1.70,1.17,1.63,1.24,6.79,3.25,6.79,2.63,1.91506342,5,0.594233
BO,20260607,17,3,6,bo_r17_003_tl0_dt35_ge37_qr16_tau80,0,35,37,0.16,0.8,158.43,93.63,204.42,34.55,374.29,11.08,10.84,6.37,1.50,1.05,1.50,1.13,6.37,3.05,6.37,2.43,1.85098630,5,0.574326
BO,20260607,17,4,6,bo_r17_004_tl0_dt18_ge37_qr14_tau78,0,18,37,0.14,0.78,162.63,93.63,204.42,34.55,374.29,9.43,9.21,5.21,1.24,0.86,1.24,0.92,5.21,2.45,5.21,1.98,1.64995855,5,0.552055
BO,20260607,17,5,6,bo_r17_005_tl12_dt44_ge42_qr15_tau78,12,44,42,0.15,0.78,114.89,93.63,204.42,34.55,374.29,9.12,8.92,5.33,1.37,0.94,1.30,0.97,5.33,2.52,5.33,2.07,1.67398968,5,0.584680
BO,20260607,17,6,6,bo_r17_006_tl1_dt7_ge40_qr28_tau80,1,7,40,0.28,0.8,159.34,93.63,204.42,34.55,374.29,9.03,8.86,5.62,1.35,0.94,1.32,1.02,5.62,2.77,5.62,2.17,1.72636227,5,0.622077
