method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
Random Search,20260607,12,1,6,rs_r12_001_tl14_dt5_ge40_qr20_tau81,14,5,40,0.2,0.81,161.92,93.25,155.68,90.34,0.00,PASS,,recovery_detected,True,False,0,3229,1,18,,,,,,,,,,,,,,,,,155.68,,,
Random Search,20260607,12,2,6,rs_r12_002_tl68_dt65_ge26_qr14_tau83,68,65,26,0.14,0.83,262.92,85.43,246.78,90.34,0.00,PASS,,recovery_detected,True,False,0,606,1,43,,,,,,,,,,,,,,,,,246.78,,,
Random Search,20260607,12,3,6,rs_r12_003_tl91_dt242_ge8_qr42_tau81,91,242,8,0.42,0.81,316.92,89.86,296.28,90.34,0.00,PASS,,recovery_detected,True,False,0,557,0,76,,,,,,,,,,,,,,,,,296.28,,,
Random Search,20260607,12,4,6,rs_r12_004_tl6_dt98_ge12_qr100_tau90,6,98,12,1.0,0.9,157.92,81.52,150.97,90.34,0.00,PASS,,recovery_detected,True,False,0,832,0,47,,,,,,,,,,,,,,,,,150.97,,,
Random Search,20260607,12,5,6,rs_r12_005_tl92_dt218_ge48_qr37_tau74,92,218,48,0.37,0.74,303.92,80.26,283.59,90.34,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,,283.59,,,
Random Search,20260607,12,6,6,rs_r12_006_tl51_dt117_ge1_qr40_tau78,51,117,1,0.4,0.78,308.92,91.39,289.14,90.34,0.00,PASS,,recovery_detected,True,False,0,1059,0,102,,,,,,,,,,,,,,,,,289.14,,,
Random Search,20260607,13,1,6,rs_r13_001_tl13_dt102_ge39_qr42_tau70,13,102,39,0.42,0.7,354.92,89.92,330.83,90.34,0.00,PASS,,recovery_detected,True,False,0,471,0,37,,,,,,,,,,,,,,,,,330.83,,,
Random Search,20260607,13,2,6,rs_r13_002_tl1_dt149_ge45_qr76_tau90,1,149,45,0.76,0.9,139.92,91.71,135.54,90.34,0.00,PASS,,recovery_detected,True,False,0,620,0,25,,,,,,,,,,,,,,,,,135.54,,,
Random Search,20260607,13,3,6,rs_r13_003_tl10_dt62_ge40_qr52_tau86,10,62,40,0.52,0.86,0.00,63.61,1000005.78,90.34,1000000.00,FAIL,Connection closed by SUMO.,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,5.78,,,
Random Search,20260607,13,4,6,rs_r13_004_tl121_dt19_ge35_qr37_tau79,121,19,35,0.37,0.79,144.92,79.19,138.94,90.34,0.00,PASS,,recovery_detected,True,False,0,2722,0,19,,,,,,,,,,,,,,,,,138.94,,,
Random Search,20260607,13,5,6,rs_r13_005_tl82_dt160_ge24_qr83_tau85,82,160,24,0.83,0.85,316.92,76.38,295.05,90.34,0.00,PASS,,recovery_detected,True,False,0,371,0,46,,,,,,,,,,,,,,,,,295.05,,,
Random Search,20260607,13,6,6,rs_r13_006_tl62_dt195_ge20_qr33_tau87,62,195,20,0.33,0.87,286.92,89.78,269.00,90.34,0.00,PASS,,recovery_detected,True,False,0,480,0,47,,,,,,,,,,,,,,,,,269.00,,,
Random Search,20260607,14,1,6,rs_r14_001_tl108_dt73_ge7_qr17_tau85,108,73,7,0.17,0.85,364.92,98.65,340.71,90.34,0.00,PASS,,recovery_detected,True,False,0,1120,1,84,,,,,,,,,,,,,,,,,340.71,,,
Random Search,20260607,14,2,6,rs_r14_002_tl62_dt200_ge28_qr78_tau76,62,200,28,0.78,0.76,290.92,74.86,271.28,90.34,0.00,PASS,,recovery_detected,True,False,0,351,0,40,,,,,,,,,,,,,,,,,271.28,,,
Random Search,20260607,14,3,6,rs_r14_003_tl118_dt166_ge34_qr52_tau78,118,166,34,0.52,0.78,364.92,87.44,339.69,90.34,0.00,PASS,,recovery_detected,True,False,0,310,0,42,,,,,,,,,,,,,,,,,339.69,,,
Random Search,20260607,14,4,6,rs_r14_004_tl4_dt172_ge19_qr58_tau89,4,172,19,0.58,0.89,240.92,88.86,227.10,90.34,0.00,PASS,,recovery_detected,True,False,0,868,0,46,,,,,,,,,,,,,,,,,227.10,,,
Random Search,20260607,14,5,6,rs_r14_005_tl5_dt225_ge46_qr11_tau72,5,225,46,0.11,0.72,165.92,91.82,159.18,90.34,0.00,PASS,,recovery_detected,True,False,0,366,1,26,,,,,,,,,,,,,,,,,159.18,,,
Random Search,20260607,14,6,6,rs_r14_006_tl118_dt215_ge18_qr12_tau75,118,215,18,0.12,0.75,393.92,84.25,365.77,90.34,0.00,PASS,,recovery_detected,True,False,0,547,1,61,,,,,,,,,,,,,,,,,365.77,,,
Random Search,20260607,15,1,6,rs_r15_001_tl62_dt206_ge23_qr72_tau72,62,206,23,0.72,0.72,193.92,77.51,183.34,90.34,0.00,PASS,,recovery_detected,True,False,0,283,0,37,,,,,,,,,,,,,,,,,183.34,,,
Random Search,20260607,15,2,6,rs_r15_002_tl27_dt202_ge9_qr96_tau77,27,202,9,0.96,0.77,332.92,96.31,311.41,90.34,0.00,PASS,,recovery_detected,True,False,0,776,0,73,,,,,,,,,,,,,,,,,311.41,,,
Random Search,20260607,15,3,6,rs_r15_003_tl120_dt5_ge13_qr18_tau72,120,5,13,0.18,0.72,160.92,93.17,154.76,90.34,0.00,PASS,,recovery_detected,True,False,0,3230,1,20,,,,,,,,,,,,,,,,,154.76,,,
Random Search,20260607,15,4,6,rs_r15_004_tl113_dt244_ge32_qr96_tau75,113,244,32,0.96,0.75,264.92,95.88,249.55,90.34,0.00,PASS,,recovery_detected,True,False,0,292,0,36,,,,,,,,,,,,,,,,,249.55,,,
Random Search,20260607,15,5,6,rs_r15_005_tl20_dt207_ge48_qr9_tau75,20,207,48,0.09,0.75,188.92,83.55,179.34,90.34,0.00,PASS,,recovery_detected,True,False,0,226,1,27,,,,,,,,,,,,,,,,,179.34,,,
Random Search,20260607,15,6,6,rs_r15_006_tl68_dt217_ge48_qr89_tau72,68,217,48,0.89,0.72,303.92,80.26,283.59,90.34,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,,283.59,,,
Random Search,20260607,16,1,6,rs_r16_001_tl110_dt106_ge45_qr45_tau75,110,106,45,0.45,0.75,192.92,77.83,182.46,90.34,0.00,PASS,,recovery_detected,True,False,0,272,0,27,,,,,,,,,,,,,,,,,182.46,,,
Random Search,20260607,16,2,6,rs_r16_002_tl60_dt214_ge18_qr48_tau87,60,214,18,0.48,0.87,404.92,82.18,375.58,90.34,0.00,PASS,,recovery_detected,True,False,0,431,0,63,,,,,,,,,,,,,,,,,375.58,,,
Random Search,20260607,16,3,6,rs_r16_003_tl53_dt219_ge13_qr38_tau86,53,219,13,0.38,0.86,309.92,89.75,289.90,90.34,0.00,PASS,,recovery_detected,True,False,0,583,0,62,,,,,,,,,,,,,,,,,289.90,,,
Random Search,20260607,16,4,6,rs_r16_004_tl39_dt243_ge38_qr97_tau85,39,243,38,0.97,0.85,274.92,87.44,257.88,90.34,0.00,PASS,,recovery_detected,True,False,0,331,0,36,,,,,,,,,,,,,,,,,257.88,,,
Random Search,20260607,16,5,6,rs_r16_005_tl104_dt200_ge33_qr49_tau72,104,200,33,0.49,0.72,286.92,89.91,269.01,90.34,0.00,PASS,,recovery_detected,True,False,0,335,0,35,,,,,,,,,,,,,,,,,269.01,,,
