edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-198691062#0,0.0,0.0,0.0,0.0
-198691062#1,0.0,1.0,1.0,9.89
-198691063#1,0.0,3.0,3.0,30.38
-198691066,7.0,7.0,7.0,44.72
-198691067#1,7.0,6.0,7.0,21.5
-198691067#2,469.0,469.0,469.0,2996.46
-198691068,9.0,10.0,10.0,60.92
-198691070#0,8.0,6.0,8.0,47.01
-198691070#1,15.0,16.0,16.0,39.57
-198691071#0,2.0,3.0,3.0,9.73
-198691071#1,0.0,2.0,2.0,20.15
-198691072#0,0.0,0.0,0.0,0.0
-198691072#1,1.0,0.0,1.0,2.18
-198691075#1,14.0,11.0,14.0,74.96
-198691076#0,2.0,0.0,2.0,10.29
-198691076#1,2.0,2.0,2.0,1.98
-198691076#2,2.0,2.0,2.0,11.52
-198691080#0,3.0,4.0,4.0,4.42
-198691080#1,0.0,0.0,0.0,0.0
-198691080#2,2.0,0.0,2.0,7.4
-198691081,2.0,3.0,3.0,39.78
-198691083,2.0,0.0,2.0,9.49
-198691084,0.0,3.0,3.0,18.74
-198691085#0,12.0,14.0,14.0,81.08
-198691085#1,9.0,9.0,9.0,51.68
-198691085#2,2.0,2.0,2.0,10.99
-198691085#3,4.0,3.0,4.0,26.06
-198691086#2,4.0,7.0,7.0,154.97
-198691086#3,4.0,1.0,4.0,34.2
-198691087#1,2.0,0.0,2.0,13.45
-198691088,2.0,1.0,2.0,17.82
-198691090,9.0,9.0,9.0,20.64
-198691091,3.0,3.0,3.0,17.41
-198691093,0.0,0.0,0.0,0.0
-203501044,0.0,1.0,1.0,4.29
-215843535#2,0.0,0.0,0.0,0.0
-215843535#5,1.0,0.0,1.0,7.33
-218662402#1,459.0,456.0,459.0,7185.91
-218684408#1,2.0,2.0,2.0,16.06
-218684408#2,3.0,2.0,3.0,10.46
-218684408#4,0.0,0.0,0.0,0.0
-218684408#5,0.0,0.0,0.0,0.0
-218684411#1,3.0,4.0,4.0,16.77
-218684411#2,1.0,1.0,1.0,1.46
-218684411#3,1.0,1.0,1.0,1.73
-218684411#4,0.0,0.0,0.0,0.0
-218773868#0,629.0,629.0,629.0,3986.19
-218773868#2,64.0,64.0,64.0,358.14
-218773868#3,65.0,64.0,65.0,100.2
-218773868#4,60.0,59.0,60.0,195.37
-218773868#5,60.0,62.0,62.0,188.59
-218773868#6,45.0,45.0,45.0,34.44
-218923171#1,23.0,23.0,23.0,34.66
-218923171#3,27.0,26.0,27.0,37.81
-218923171#4,28.0,28.0,28.0,114.78
-218923171#5,250.0,232.0,250.0,1348.06
-218923177,24.0,25.0,25.0,480.88
-218960891#0,0.0,0.0,0.0,0.0
-218960891#1,5.0,0.0,5.0,40.97
-218960895#0,0.0,0.0,0.0,0.0
-223418965#1,4.0,4.0,4.0,21.29
-223418965#13,4.0,4.0,4.0,56.14
-223418965#14,2.0,2.0,2.0,5.63
-223418965#15,1.0,1.0,1.0,5.62
-223418965#17,0.0,0.0,0.0,0.0
-223418965#2,4.0,4.0,4.0,14.7
-223418965#4,12.0,12.0,12.0,60.9
-223418965#9,12.0,12.0,12.0,71.94
-228795463#1,3.0,4.0,4.0,99.05
-228795463#3,5.0,3.0,5.0,4.23
-228795463#4,4.0,5.0,5.0,27.79
-228795467#0,1.0,0.0,1.0,4.82
