edge_id,length_m,lane_count,speed_mps,priority,spine_score,planned_count,actual_entered_count,actual_left_count
785130598#3,59.35,2.0,13.89,12.0,0.667018,35,35.0,35.0
438360331#2,201.89,2.0,27.78,12.0,0.664932,62,57.0,60.0
782892492#1,33.65,1.0,22.22,7.0,0.664708,1,0.0,1.0
176728950#0,82.58,1.0,22.22,10.0,0.664347,35,20.0,34.0
198564928#19,64.35,1.0,27.78,11.0,0.664034,571,571.0,571.0
-176728950#0,82.58,1.0,22.22,10.0,0.663837,0,0.0,0.0
-198564928#20,64.42,1.0,27.78,11.0,0.663561,186,186.0,186.0
1455518729#1,48.82,1.0,27.78,11.0,0.662862,553,553.0,553.0
1455497343#3,44.13,2.0,13.89,12.0,0.662379,48,48.0,48.0
-1455518729#1,48.82,1.0,27.78,11.0,0.66233,165,165.0,165.0
782892492#0,22.88,1.0,22.22,7.0,0.662074,34,34.0,34.0
619147726#0,47.94,1.0,27.78,11.0,0.661182,251,245.0,250.0
1455497343#0,46.88,2.0,13.89,12.0,0.661153,50,50.0,50.0
913009312#10,14.9,2.0,27.78,12.0,0.659992,442,442.0,421.0
-913009312#10,14.9,2.0,27.78,12.0,0.659557,413,413.0,413.0
198564928#28,46.29,1.0,27.78,11.0,0.657108,577,577.0,577.0
1109231377#1,10.23,1.0,22.22,7.0,0.656839,34,1.0,34.0
-198564928#28,46.29,1.0,27.78,11.0,0.656577,166,166.0,166.0
585341909,40.64,1.0,22.22,7.0,0.654782,49,49.0,20.0
-333554714#1,45.99,2.0,27.78,12.0,0.653704,4,0.0,4.0
333554714#1,45.99,2.0,27.78,12.0,0.653623,0,0.0,0.0
-913006754#8,132.45,3.0,13.89,12.0,0.651761,21,18.0,21.0
913006754#7,132.42,3.0,13.89,12.0,0.651586,21,20.0,21.0
516948900#7,26.23,1.0,27.78,11.0,0.651414,8,0.0,8.0
244221644#1,77.05,1.0,27.78,11.0,0.651325,24,21.0,24.0
-913009312#5,16.29,2.0,27.78,12.0,0.651135,395,395.0,395.0
516948900#5,22.87,1.0,27.78,11.0,0.651084,26,24.0,26.0
913009312#5,16.67,2.0,27.78,12.0,0.651057,425,425.0,422.0
1455497343#2,31.15,2.0,13.89,12.0,0.650858,49,49.0,49.0
-516948900#6,22.87,1.0,27.78,11.0,0.650551,21,16.0,21.0
-516948900#8,25.23,1.0,27.78,11.0,0.650003,19,16.0,19.0
