edge_id,actual_entered_count,actual_left_count,sampled_seconds
-381456458,0.0,5.0,34.22
-381456459,0.0,0.0,0.0
-381456460,1.0,1.0,4.93
-381456461,0.0,0.0,0.0
-381456462#0,1.0,4.0,17.86
-381456462#1,1.0,1.0,2.6
-381456462#3,1.0,0.0,5.1
-381456463#0,0.0,0.0,0.0
-381456463#2,1.0,0.0,2.94
-381456464#1,0.0,0.0,0.0
-381456465,3.0,3.0,323.59
-381456466#0,0.0,0.0,0.0
-381456466#1,1.0,0.0,1.27
-381456466#2,2.0,0.0,7.33
-381456468#0,0.0,0.0,0.0
-381456468#1,0.0,0.0,0.0
-381456469#0,1.0,1.0,1.92
-381456469#1,1.0,1.0,1.7
-381456469#2,1.0,1.0,4.0
-381458589#0,9.0,0.0,24.27
-381458589#1,0.0,5.0,15.16
-381802843#0,0.0,0.0,0.0
-381802843#1,0.0,0.0,0.0
-381802844#0,3.0,3.0,4.86
-381802844#1,0.0,0.0,0.0
-381802844#2,0.0,0.0,0.0
-381802844#3,0.0,0.0,0.0
-381802844#5,0.0,0.0,0.0
-381802844#6,0.0,0.0,0.0
-381802844#7,0.0,0.0,0.0
-381802844#8,0.0,4.0,13.87
-381802845#1,1.0,0.0,5.07
-381802845#2,1.0,0.0,3.68
-381802845#3,0.0,0.0,0.0
-381802847#0,3.0,3.0,142.97
-381802847#1,4.0,3.0,16.36
-381802847#2,0.0,0.0,0.0
-381802847#3,0.0,0.0,0.0
-381802847#4,1.0,0.0,1.77
-381802847#6,1.0,1.0,3.64
-381802848#0,0.0,0.0,0.0
-381802848#1,1.0,0.0,3.68
-381802848#2,0.0,0.0,0.0
-381802853,1.0,0.0,2.33
-381802858,1.0,1.0,2.54
-381802860#0,0.0,0.0,0.0
-381802860#1,1.0,1.0,8.21
-381802860#2,3.0,1.0,24.92
-381802863,4.0,0.0,25.18
-381802870#0,0.0,0.0,0.0
-381802870#1,3.0,2.0,11.67
-381802874#0,0.0,0.0,0.0
-381802874#1,0.0,0.0,0.0
-381802876#0,0.0,0.0,0.0
-381802876#1,0.0,0.0,0.0
-381802879#0,0.0,0.0,0.0
-381802879#1,4.0,2.0,28.13
-381802879#3,4.0,16.0,142.63
-381802881#0,0.0,0.0,0.0
-381802881#2,5.0,5.0,35.94
-381802882,1.0,1.0,6.9
-381802883#0,0.0,2.0,20.57
-381802883#1,0.0,0.0,0.0
-381802883#3,3.0,0.0,13.55
-381802884#0,15.0,16.0,45.28
-381802884#1,0.0,15.0,94.76
-381802888,4.0,1.0,27.07
-381807690#1,3.0,3.0,27.0
-381807690#2,0.0,0.0,0.0
-381807690#3,1.0,1.0,16.77
-381807694#1,2.0,1.0,9.99
-381807698#3,0.0,0.0,0.0
-381807721#0,1.0,1.0,8.9
-381807721#2,2.0,2.0,18.05
-381807721#3,1.0,1.0,2.77
-381809843#0,0.0,0.0,0.0
-381809843#1,0.0,0.0,0.0
-381809844#1,0.0,0.0,0.0
-381809845,14.0,1.0,132.56
-381809847,1.0,1.0,15.06
-381809849#0,1.0,0.0,4.14
-381809849#4,3.0,3.0,15.95
-381809850#2,0.0,0.0,0.0
-383097714,310.0,307.0,11818.13
-383097722#0,527.0,528.0,39272.86
-384030398#1,8.0,7.0,95.94
-384030401#1,13.0,0.0,76.63
-384030401#2,20.0,18.0,153.02
-395564622#0,30.0,30.0,359.37
-395564622#1,15.0,15.0,561.46
-395564622#2,17.0,18.0,87.84
-420086350,0.0,0.0,0.0
-420089386#1,1.0,1.0,5.37
-420089386#2,0.0,0.0,0.0
-420089386#3,0.0,0.0,0.0
-420092888#0,0.0,0.0,0.0
-420092888#1,0.0,0.0,0.0
-420092889#1,0.0,0.0,0.0
-420092889#2,0.0,0.0,0.0
-420092889#3,0.0,0.0,0.0
-420092889#4,0.0,0.0,0.0
-420097204#3,0.0,0.0,0.0
-420187959#0,225.0,239.0,1205.92
-420187959#11,18.0,18.0,52.71
-420187959#12,2.0,3.0,22.82
-420187959#2,125.0,129.0,1050.83
-420187959#3,103.0,114.0,2070.12
-420187959#4,41.0,45.0,1541.17
-420187959#5,26.0,23.0,41.47
-420187959#7,23.0,23.0,135.05
-420187959#8,24.0,24.0,44.95
-420317538#1,0.0,0.0,0.0
-420317538#2,8.0,8.0,276.98
-420317540,0.0,5.0,70.73
-420317541#0,3.0,5.0,45.87
-420317541#1,0.0,3.0,13.94
-420317543#0,3.0,1.0,13.02
-420317543#1,2.0,5.0,37.98
-420317544#1,0.0,0.0,0.0
-420317544#3,30.0,22.0,416.5
-420319840#0,2.0,1.0,11.48
-420319840#1,2.0,2.0,2.14
-420319841#1,28.0,28.0,3798.8
-420319841#10,0.0,0.0,0.0
-420319841#2,28.0,28.0,876.07
-420319841#3,27.0,27.0,45.33
-420319841#4,29.0,27.0,46.1
-420319841#5,28.0,28.0,54.14
-420319841#6,26.0,26.0,77.36
-420319841#7,0.0,0.0,0.0
-420319841#8,0.0,2.0,8.67
-420319844,0.0,0.0,0.0
-420319845,8.0,8.0,4060.44
-420319846,7.0,6.0,12.29
-420319847,1.0,0.0,5.8
-420319848#0,49.0,53.0,9701.02
-420319848#1,50.0,49.0,28132.33
-420319848#2,47.0,47.0,15045.88
-420319848#3,46.0,46.0,6677.39
-420319848#4,46.0,46.0,5983.83
-420319848#5,42.0,48.0,4307.67
-420319848#7,43.0,43.0,7222.99
-420331801#0,0.0,0.0,0.0
-420331801#2,1.0,0.0,12.3
-420331802#0,0.0,0.0,0.0
-420331802#1,0.0,0.0,0.0
-420331802#3,2.0,2.0,14.72
-420331803,2.0,1.0,19.78
-420331804,0.0,0.0,0.0
-420331805,0.0,0.0,0.0
-420331806,0.0,0.0,0.0
-420331807#0,2.0,2.0,6.73
-420331807#1,0.0,0.0,0.0
-420331808,3.0,0.0,19.43
-420331809,2.0,2.0,7.64
-420331810,0.0,0.0,0.0
-420331811#0,5.0,5.0,30.34
-420331812#0,17.0,16.0,73.42
-420331812#1,1.0,1.0,0.83
-420331812#2,7.0,1.0,8.28
-420331812#3,13.0,13.0,8.08
-420331812#4,14.0,13.0,62.18
-420331813#0,5.0,5.0,21.3
-420331814#0,1.0,1.0,5.67
-420331814#1,1.0,1.0,0.63
-420331814#2,1.0,1.0,2.2
-420331815,2.0,2.0,11.32
-420331816#1,3.0,3.0,358.24
-420331816#2,0.0,0.0,0.0
-420331817,0.0,0.0,0.0
-420331818#0,1.0,1.0,4.57
-420331823,1.0,0.0,6.17
-420331825#0,17.0,17.0,350.48
-420331825#1,13.0,13.0,53.97
-420331825#2,10.0,9.0,47.88
-420331825#3,6.0,10.0,77.3
-420331825#4,9.0,9.0,20.08
-420331827,2.0,1.0,8.68
-420331830,0.0,4.0,38.09
-420331831,22.0,22.0,113.52
-420331835#1,1.0,1.0,3.92
-420331836,18.0,0.0,72.89
-420331837#0,1.0,1.0,2.52
-420331837#1,0.0,1.0,6.51
-420331838#0,1.0,1.0,6.66
-420331838#1,1.0,1.0,4.41
-420331839,1.0,0.0,6.62
-420334155#3,3.0,0.0,87.24
-420335669,0.0,0.0,0.0
-420348545,0.0,0.0,0.0
-420348552#1,0.0,0.0,0.0
-420348553,0.0,0.0,0.0
-420348555#1,1.0,0.0,8.7
-420348556#1,0.0,0.0,0.0
-420348556#2,0.0,0.0,0.0
-420348556#3,0.0,2.0,17.24
-420348560,0.0,0.0,0.0
-420348561#0,0.0,2.0,7.96
-420348561#1,0.0,0.0,0.0
-420348561#2,1.0,0.0,2.36
-420361194#3,1.0,2.0,21.06
-420361205#3,2.0,0.0,21.35
-420383139#0,0.0,2.0,320.02
-420383139#1,1.0,1.0,6.0
-420383139#2,20.0,20.0,713.35
-420383140#2,0.0,0.0,0.0
-420383140#4,0.0,0.0,0.0
-420383140#5,0.0,0.0,0.0
-420383143#1,2.0,10.0,100.86
-420383143#2,2.0,2.0,9.96
-420383144#0,4.0,4.0,39.79
-420383144#1,1.0,0.0,6.18
-420383145,0.0,0.0,0.0
-420383146#1,0.0,0.0,0.0
-420383147,1.0,1.0,4.92
-420383151,3.0,0.0,17.35
-420383152,3.0,1.0,7.8
-420383153,0.0,0.0,0.0
-420383159#1,5.0,4.0,49.53
-420383159#2,0.0,0.0,0.0
-420383160#0,7.0,7.0,518.77
-420383161,0.0,0.0,0.0
-420391187#1,7.0,9.0,56.4
-420391195,0.0,0.0,0.0
-420393496#4,0.0,0.0,0.0
-422584938,0.0,2.0,36.76
-428260116#0,93.0,94.0,3866.26
-428260116#1,90.0,90.0,87.63
-431903251#0,5.0,0.0,20.94
-431903251#1,5.0,5.0,32.25
-464233655,0.0,0.0,0.0
-464445691#1,0.0,0.0,0.0
-464445691#3,0.0,2.0,14.98
-464459665,2.0,2.0,8.11
-464459667,4.0,3.0,21.93
-464459668#1,1.0,7.0,70.7
-464459668#2,1.0,1.0,5.88
-464461045,0.0,1.0,14.84
-464461048#0,5.0,4.0,16.57
-464461048#1,2.0,2.0,12.85
-464461048#2,4.0,4.0,8.21
-464461049#0,0.0,4.0,29.92
-464461049#1,4.0,3.0,10.31
-464461049#3,3.0,4.0,6.31
-464461050,0.0,1.0,3.91
-464461051,0.0,0.0,0.0
-464461052#1,0.0,0.0,0.0
-464461053#1,13.0,13.0,119.31
-464461053#2,0.0,0.0,0.0
-464461053#3,0.0,0.0,0.0
-464461053#4,1.0,0.0,4.28
-464461053#5,2.0,2.0,11.1
-464461054#0,8.0,7.0,14.82
-464461054#1,8.0,8.0,86.27
-464461055,0.0,0.0,0.0
-464461056,0.0,0.0,0.0
-464461057#0,0.0,0.0,0.0
-464461057#1,1.0,1.0,3.75
-464461057#4,1.0,1.0,11.48
-464461060,11.0,11.0,115.06
-464461063,0.0,0.0,0.0
-470453019#2,5.0,5.0,6.92
-470453019#4,4.0,4.0,10.54
-470453019#5,4.0,5.0,15.8
-470453019#7,8.0,5.0,32.25
-480233462#1,131.0,69.0,385.23
-482167260,6.0,6.0,23.71
-506162633,205.0,205.0,867.14
-516948900#2,56.0,56.0,797.73
-516948900#3,29.0,31.0,274.61
-516948900#4,21.0,23.0,66.66
-516948900#6,16.0,21.0,38.33
-516948900#8,16.0,19.0,59.92
-520307305#2,276.0,283.0,17278.65
-520307305#3,7.0,14.0,77.89
-520307305#4,0.0,1.0,4.84
-520307306,427.0,428.0,4421.92
-531796031,0.0,2.0,10.87
-578313748#0,65.0,65.0,61.03
-578313748#2,86.0,86.0,91.14
-581906883#0,1.0,1.0,3.91
-581906883#1,2.0,2.0,3.87
-591142208#0,18.0,18.0,20.2
-591142208#2,19.0,18.0,130.95
-591142220,4.0,6.0,45.72
-601902513#0,19.0,0.0,116.77
-601902513#1,23.0,22.0,76.18
-607077076#0,2.0,2.0,3.41
-607077076#1,3.0,3.0,8.73
-607077076#3,0.0,2.0,18.89
-608946832,7.0,7.0,9.94
-628816136#3,12.0,6.0,205.83
-628816140#2,7.0,2.0,180.89
-631259843,0.0,0.0,0.0
-631259844,0.0,3.0,17.07
-634096163,30.0,25.0,199.56
-651696631#2,0.0,3.0,103.96
-651817398#5,0.0,1.0,16.72
-651818430#1,19.0,29.0,18996.91
-651818430#3,4.0,19.0,10330.93
-656122998#0,0.0,0.0,0.0
-656122998#1,0.0,1.0,8.45
-701497860#0,0.0,0.0,0.0
-701497860#1,2.0,2.0,6.27
-711239223#2,0.0,0.0,0.0
-712288152#2,20.0,23.0,439.71
-73550864#2,0.0,0.0,0.0
-766904027#11,0.0,0.0,0.0
-767111811#2,0.0,0.0,0.0
-767524334#2,0.0,0.0,0.0
-767644534#0,3.0,3.0,31.33
-767644534#1,3.0,3.0,11.75
-767644535,0.0,1.0,7.93
-768399563#0,93.0,93.0,13464.48
-768952297,1.0,1.0,5.63
-769110715#2,0.0,0.0,0.0
-769423158,1.0,1.0,236.92
-769488211,1.0,0.0,2.89
-770860542#1,3.0,8.0,2842.6
-770860548#1,108.0,111.0,22896.0
-770860548#2,83.0,91.0,9749.3
-770860548#3,112.0,114.0,17818.05
-770860548#4,90.0,105.0,13309.97
-770860549,4.0,10.0,1758.02
-770860550,0.0,6.0,195.28
-770860551,6.0,3.0,35.57
-770860552#0,1.0,1.0,4.59
-770860552#2,7.0,15.0,4840.68
-770860565#0,21.0,21.0,3780.44
-770860565#1,2.0,12.0,3042.86
-771678026,0.0,3.0,15.97
-771923366,0.0,0.0,0.0
-772279128#0,2.0,2.0,30.7
-772279128#4,21.0,12.0,323.24
-772279128#8,1.0,0.0,6.89
-772527390#2,4.0,2.0,25.81
-772527390#3,4.0,4.0,7.51
-772527390#5,5.0,3.0,904.2
-772873181#2,1.0,1.0,4.27
-772873182#1,2.0,1.0,24.06
-772873184,0.0,0.0,0.0
-775222468#16,45.0,45.0,1030.07
-775222468#3,42.0,42.0,427.29
-775222468#4,40.0,40.0,278.73
-775222468#5,40.0,40.0,12.54
-775222468#6,40.0,40.0,104.15
-775222468#8,40.0,40.0,151.08
-776781830,1.0,0.0,5.81
-776781838,0.0,0.0,0.0
-777422408,0.0,0.0,0.0
-778973690,0.0,2.0,19.45
-781985788#0,528.0,527.0,168.21
-781985790#1,14.0,14.0,1849.61
-781985790#4,0.0,0.0,0.0
-782616914#1,0.0,0.0,0.0
-785130601#1,0.0,0.0,0.0
-785130602#0,6.0,6.0,15.66
-785130602#1,5.0,4.0,23.22
-785130602#2,0.0,2.0,12.98
-788296723#0,0.0,0.0,0.0
-788296723#2,3.0,7.0,54.56
-788296724#1,4.0,2.0,26.37
-788296725,0.0,0.0,0.0
-788296726#1,3.0,5.0,1010.95
-788296727#1,34.0,34.0,17494.0
-788411954#1,13.0,13.0,72.19
-788411956,31.0,31.0,351.21
-788411958,0.0,0.0,0.0
-788411959,0.0,0.0,0.0
-800229255,87.0,86.0,56.88
-800229257#1,36.0,38.0,511.8
-800229257#2,30.0,30.0,58.86
-821107999#1,0.0,0.0,0.0
-821108006#1,0.0,0.0,0.0
-821108007,4.0,4.0,35.5
-824132486,0.0,0.0,0.0
-870977308#1,0.0,14.0,71.83
-870977310#1,6.0,4.0,32.43
-870977311,1.0,1.0,9.37
-871052109#0,2.0,3.0,3.9
-871052109#1,4.0,2.0,17.16
-892932178#1,2.0,0.0,6.44
-910451393#1,2.0,1.0,10.3
-911522748#1,30.0,30.0,89.85
-911522751#0,0.0,0.0,0.0
-911522751#1,0.0,0.0,0.0
-911522751#3,0.0,0.0,0.0
-913006752#1,201.0,201.0,283.48
-913006753,77.0,76.0,75.37
-913006754#0,74.0,77.0,163.77
-913006754#1,73.0,74.0,474.46
-913006754#2,65.0,73.0,826.72
-913006754#3,53.0,53.0,127.3
-913006754#4,55.0,55.0,1828.35
-913006754#5,13.0,12.0,46.74
-913006754#6,16.0,16.0,145.82
-913006754#8,18.0,21.0,274.86
-913006754#9,22.0,24.0,554.11
-913009310#1,0.0,0.0,0.0
-913009311,426.0,426.0,1524.56
-913009312#10,413.0,413.0,1383.88
-913009312#3,420.0,416.0,13452.05
-913009312#4,393.0,393.0,3208.45
-913009312#5,395.0,395.0,11118.54
-913009312#8,395.0,395.0,20440.46
-913009312#9,409.0,408.0,4152.8
-913009313#1,0.0,0.0,0.0
-913570918,5.0,5.0,14.65
-913811577#1,4.0,3.0,16.27
-913811578,0.0,0.0,0.0
-913826317,0.0,1.0,4.93
-913833410,1.0,0.0,5.59
-913839558#3,3.0,0.0,16.64
-914660214#0,3.0,3.0,7.2
-914660214#2,0.0,1.0,7.69
-914660215#1,6.0,6.0,37.66
-921796625,0.0,0.0,0.0
-955312947#0,0.0,0.0,0.0
-955312947#1,0.0,0.0,0.0
-955312948,1.0,0.0,2.41
1002205277,0.0,0.0,0.0
1002205278,0.0,0.0,0.0
1002205279,0.0,0.0,0.0
1002205302,0.0,0.0,0.0
1002205303#1,10.0,11.0,99.41
1004718837,0.0,2.0,14.63
1011331960,0.0,0.0,0.0
1016508136#0,2.0,1.0,17.5
1017504130,5.0,5.0,1761.62
1084408283#2,0.0,9.0,286.98
1099004169,1.0,1.0,7.53
1109231376,27.0,27.0,32.5
1109231377#0,2.0,1.0,183.24
1109231377#1,1.0,34.0,1727.7
1120540512,95.0,95.0,2584.92
1125640020,2.0,2.0,25.65
1125773042,0.0,0.0,0.0
1125773043,6.0,8.0,10.2
1126339777#0,23.0,23.0,41.84
1126339784,0.0,0.0,0.0
1149179293,0.0,0.0,0.0
1160841705,9.0,12.0,65.35
117770531#4,0.0,0.0,0.0
117770531#5,0.0,0.0,0.0
117770531#6,3.0,2.0,18.28
117770536#0,3.0,3.0,10.69
117770536#1,0.0,0.0,0.0
117770543#0,3.0,0.0,26.18
117770543#1,1.0,1.0,8.75
117770543#2,0.0,0.0,0.0
117770551#0,4.0,4.0,24.62
117770551#2,4.0,3.0,9.91
117770551#3,3.0,3.0,4.3
117770551#4,1.0,0.0,0.36
117784411#0,1.0,3.0,37.39
117784411#1,0.0,0.0,0.0
117784411#2,3.0,2.0,20.03
117784413#0,0.0,0.0,0.0
117784414,0.0,0.0,0.0
117784415,0.0,0.0,0.0
117784416,0.0,1.0,10.53
117784417#0,0.0,42.0,12707.65
117784417#2,78.0,78.0,2801.08
117784417#3,80.0,80.0,1619.8
117784417#4,80.0,80.0,32960.58
117784418#0,0.0,0.0,0.0
117784418#1,0.0,0.0,0.0
117784418#2,0.0,0.0,0.0
117784418#3,3.0,2.0,13.27
117784418#4,8.0,8.0,1784.98
117784419#0,0.0,4.0,46.42
117784419#1,0.0,0.0,0.0
117784420,7.0,4.0,33.05
117784421#0,0.0,0.0,0.0
117784421#1,1.0,3.0,12.52
117784421#2,5.0,5.0,15.08
117784421#3,7.0,7.0,20.17
117784421#4,9.0,7.0,1612.7
117784422,1.0,1.0,12.13
117784423#0,0.0,0.0,0.0
117914343#0,54.0,54.0,111.77
117914343#1,37.0,35.0,33.06
117914343#2,19.0,19.0,573.03
117914344#1,6.0,6.0,28.76
117914344#2,4.0,4.0,14.25
117914345#0,3.0,0.0,9.69
117914345#1,2.0,0.0,21.9
117914345#2,0.0,0.0,0.0
117914345#3,0.0,0.0,0.0
117914345#4,0.0,0.0,0.0
117914348#0,0.0,0.0,0.0
117914348#1,1.0,1.0,2.48
117914348#3,1.0,1.0,3.14
117914348#4,1.0,3.0,18.76
117914351#0,0.0,1.0,4.14
117914351#2,3.0,4.0,35.44
117914352#0,1.0,1.0,4.63
117914352#1,5.0,5.0,49.11
117914353#0,3.0,3.0,9.28
117914353#1,5.0,5.0,8.76
117914353#2,5.0,5.0,18.53
117914354,53.0,53.0,648.32
117914840,0.0,2.0,18.21
117914842#0,17.0,17.0,143.22
117914842#2,24.0,25.0,156.32
117914842#3,8.0,5.0,43.46
117914842#4,7.0,5.0,34.08
117914842#7,5.0,10.0,53.79
117914842#9,15.0,15.0,227.98
117914844,3.0,3.0,16.58
117914847#0,0.0,0.0,0.0
117914847#1,3.0,9.0,144.63
117914848#0,0.0,0.0,0.0
117914848#3,3.0,2.0,6.71
117914848#4,2.0,2.0,3.37
117914848#5,2.0,2.0,3.95
117914848#6,2.0,2.0,1.98
117914848#7,4.0,2.0,55.59
117914849#0,296.0,297.0,12097.3
117914849#1,280.0,300.0,20914.94
1205679413,0.0,2.0,4.28
1205679414,35.0,34.0,57.7
1205679415,0.0,3.0,68.53
1205679418#0,31.0,31.0,41.94
1205679418#1,31.0,31.0,70.46
1205679418#11,79.0,78.0,1008.56
1205679418#14,6.0,5.0,18.61
1205679418#2,39.0,39.0,72.68
1205679418#3,42.0,42.0,69.35
1205679418#4,42.0,18.0,82.84
1205679418#5,14.0,14.0,24.78
1205679418#6,13.0,13.0,33.66
1205679418#8,13.0,12.0,210.05
1206223939,55.0,56.0,187.63
1206223940,87.0,82.0,2752.63
1206223943,75.0,76.0,4112.39
1206223944,140.0,114.0,952.64
1206223945,5.0,5.0,3896.48
1206223946#0,181.0,174.0,518.67
1206223947,11.0,10.0,1233.83
1212424782#0,30.0,30.0,538.8
1212424783#0,46.0,46.0,244.13
1212424783#1,46.0,46.0,100.22
1212424783#2,48.0,48.0,65.5
1212424783#3,44.0,45.0,236.93
1212424784,5.0,5.0,1.34
1212424785#0,5.0,5.0,99.26
1212424791#0,7.0,7.0,49.16
1212424791#2,196.0,196.0,10104.56
1212424791#7,229.0,232.0,4198.45
1212424791#8,236.0,235.0,6558.67
1274416500,0.0,0.0,0.0
1279010544#0,229.0,215.0,460.66
1283636934#1,0.0,0.0,0.0
1283636940#0,50.0,55.0,3026.64
1283636940#1,89.0,96.0,4723.96
1283637455,10.0,6.0,15.97
1283637457,3.0,2.0,9.41
1283637467,2.0,2.0,27.41
1283637468#0,0.0,2.0,7.36
1283637469#0,0.0,0.0,0.0
1283637469#5,0.0,0.0,0.0
1283637470#0,1.0,1.0,2.23
1283637470#2,1.0,1.0,2.24
1283637484,0.0,0.0,0.0
1283637487,0.0,0.0,0.0
1305791485#0,0.0,0.0,0.0
1339655667#0,47.0,46.0,182.69
1339655670#1,0.0,4.0,35.54
1339697074#0,53.0,53.0,54.31
1339697074#1,71.0,71.0,267.76
1339697075#0,61.0,61.0,62.54
1339697075#1,61.0,61.0,538.44
1339697076#0,19.0,19.0,57.29
1339697076#1,19.0,19.0,42.57
135131177,0.0,46.0,2975.38
135131180#0,46.0,114.0,1224.6
135131180#2,99.0,97.0,95.44
135131181,117.0,114.0,1682.7
1379887973#0,19.0,18.0,17.68
1380482780,0.0,0.0,0.0
1380857657#0,0.0,3.0,16.12
1380857657#1,3.0,3.0,4.46
1380857658,0.0,0.0,0.0
1381133418,13.0,0.0,76.35
1384048167,0.0,0.0,0.0
1395426737#0,4.0,1.0,12.34
1395426737#1,1.0,1.0,5.45
1395426738#0,0.0,0.0,0.0
1424068313#1,156.0,155.0,1533.84
1424068314#4,0.0,1.0,6.89
1455497343#0,50.0,50.0,209.09
1455497343#1,50.0,50.0,342.57
1455497343#2,49.0,49.0,143.5
1455497343#3,48.0,48.0,221.04
1455497343#4,35.0,32.0,200.67
1455497345,751.0,734.0,144576.95
1455512066,31.0,29.0,556.83
1455512067,39.0,39.0,461.71
1455512069,29.0,26.0,350.54
1455512070,24.0,24.0,109.32
1455512071,7.0,7.0,287.22
1455512074,22.0,22.0,20.0
1455518726,556.0,555.0,2584.72
1455518727#0,26.0,26.0,178.51
1455518727#1,20.0,20.0,65.86
1455518728,33.0,35.0,2253.57
1455518729#0,555.0,555.0,14157.2
1455518729#1,553.0,553.0,8429.22
1455518729#2,544.0,545.0,3800.55
1455518729#4,542.0,542.0,5088.72
1455518729#5,539.0,540.0,1990.82
1455518729#6,540.0,540.0,6221.6
1455518729#7,533.0,533.0,4081.65
1455524944,18.0,18.0,30.47
1455524945,18.0,18.0,16.95
1455524947#1,0.0,0.0,0.0
1455524947#2,0.0,36.0,8186.54
1455524948,1.0,0.0,0.48
1455524949#0,4.0,4.0,39.56
1455524949#2,21.0,21.0,116.48
1455524949#3,3.0,5.0,47.49
1455524949#4,5.0,5.0,26.26
1455524949#5,10.0,9.0,35.42
1455524949#6,4.0,4.0,9.47
1455524950#0,7.0,4.0,27.98
1455524951#0,7.0,7.0,59.52
1455524951#2,5.0,5.0,1.61
1455524951#3,5.0,5.0,31.95
1455524951#6,5.0,18.0,83.84
1455524951#7,17.0,16.0,3746.56
1455524953,9.0,11.0,21.91
1455526421,4.0,2.0,3.56
1455526422,2.0,2.0,2.52
1455526425#0,2.0,2.0,5.1
1455526426#0,45.0,42.0,183.07
1455526427#2,13.0,13.0,129.11
1455526427#3,2.0,2.0,3.19
1455527229,1.0,0.0,1.14
1456115789,220.0,223.0,97.71
1456115790#0,0.0,0.0,0.0
1456115790#8,0.0,0.0,0.0
1456115796,5.0,0.0,48.54
1456115800,258.0,254.0,8014.67
1456115801#0,257.0,253.0,52096.96
1456115801#3,350.0,344.0,22830.45
1456115801#5,301.0,296.0,5914.81
1456115801#6,300.0,299.0,42686.49
1456115801#7,297.0,293.0,8231.57
1456115804#0,0.0,0.0,0.0
1456115804#1,0.0,0.0,0.0
1456115804#2,0.0,0.0,0.0
1456115804#3,1.0,3.0,16.21
1456115805,0.0,0.0,0.0
1456115806#0,0.0,0.0,0.0
1456115806#2,0.0,0.0,0.0
1465558140,13.0,8.0,557.92
1465558143,14.0,12.0,56.26
1465558144,12.0,13.0,398.83
1465558145,8.0,11.0,111.31
1465558146#0,72.0,72.0,22.48
1465558146#1,72.0,69.0,19.34
1465558147,0.0,0.0,0.0
1467498054,199.0,199.0,76054.11
1473526512,60.0,60.0,4763.19
1499619437,42.0,43.0,60.33
1499619438#0,532.0,526.0,13013.42
1499619439#0,21.0,21.0,80.94
1499619439#1,26.0,22.0,38.74
1499619439#2,7.0,7.0,11.37
1499619439#3,0.0,0.0,0.0
1499619440#2,0.0,1.0,7.32
1499619440#3,12.0,14.0,90.63
1499619440#4,25.0,29.0,75.0
1499619440#5,29.0,32.0,1071.11
1499619442,10.0,10.0,61.57
1499619443#4,57.0,54.0,564.72
1499619443#8,47.0,47.0,392.75
1499619443#9,53.0,53.0,206.01
1499619445#2,84.0,81.0,1304.83
1499619446#0,261.0,261.0,2526.41
1499619447#0,250.0,250.0,588.07
1499619447#1,262.0,262.0,4975.17
1499619449#0,255.0,254.0,2485.79
1499619449#2,251.0,250.0,700.19
1501824266,303.0,300.0,43122.21
1506939325#7,0.0,1.0,6.71
1506939325#9,2.0,4.0,12.74
156570776,0.0,0.0,0.0
170207582#0,0.0,0.0,0.0
170207582#1,0.0,0.0,0.0
170207585#0,0.0,0.0,0.0
170207585#1,0.0,0.0,0.0
170207585#2,8.0,0.0,29.11
170207591#0,0.0,0.0,0.0
170207591#1,1.0,4.0,32.35
170403779,4.0,4.0,20.93
170403787#0,7.0,7.0,16.72
170403787#1,7.0,7.0,1533.22
170403791#0,1.0,1.0,13.15
170403792,0.0,1.0,10.79
170403804#0,4.0,0.0,46.6
170403805,1.0,1.0,9.24
170403810#1,0.0,0.0,0.0
170403814#0,0.0,0.0,0.0
170403818#0,2.0,3.0,10.86
170403818#2,3.0,3.0,8.95
170403818#3,2.0,0.0,7.47
170403818#6,0.0,0.0,0.0
170403826#3,0.0,0.0,0.0
170403831#0,3.0,3.0,56.77
174870621#0,62.0,62.0,193.12
174870621#1,58.0,57.0,280.28
174870621#4,33.0,33.0,75.69
174870621#6,33.0,33.0,75.95
174870621#8,28.0,28.0,72.68
174870621#9,27.0,27.0,76.61
176728949#0,1.0,6.0,100.84
176728950#0,20.0,34.0,267.16
176728950#1,38.0,42.0,245.44
176728951#0,1.0,8.0,85.79
176728951#1,2.0,7.0,28.81
176728951#2,7.0,10.0,110.78
176728952#0,7.0,7.0,42.36
176728952#1,5.0,4.0,34.53
176728952#4,1.0,6.0,101.91
176728954,0.0,6.0,67.07
176728955#0,17.0,18.0,4440.14
176728955#2,10.0,7.0,53.33
176728955#3,5.0,3.0,39.22
176728955#5,6.0,6.0,17.55
176728955#7,12.0,12.0,61.67
176728955#8,15.0,21.0,299.03
176728956#2,0.0,5.0,145.33
180368915#0,157.0,157.0,127.97
180368915#1,122.0,122.0,124.57
180368915#2,152.0,152.0,1136.94
180368915#3,153.0,152.0,7954.78
180368918#0,202.0,202.0,9340.16
180368918#3,210.0,210.0,5677.32
180368918#5,246.0,246.0,3197.14
180368918#6,246.0,246.0,5119.66
180368918#7,246.0,249.0,24949.23
180368918#8,195.0,195.0,9965.05
183272309#0,79.0,79.0,601.56
183272309#1,79.0,79.0,392.0
183272309#10,14.0,14.0,30.83
183272309#12,6.0,4.0,33.42
183272309#3,60.0,60.0,407.07
183272309#4,50.0,50.0,84.0
183272309#6,34.0,35.0,100.35
183272309#7,24.0,23.0,76.76
183272309#8,21.0,21.0,32.35
183272309#9,16.0,17.0,35.9
183272313#0,0.0,0.0,0.0
183272314#2,0.0,0.0,0.0
