connected_road_no,side_edge_sub_index,side_edge_id,relation_to_mainroad_node,junction_id,nearest_route_edge_id,nearest_segment_id,mainroad_edge_ids_at_junction,distance_from_fire_station_m,side_edge_length_m,side_edge_lane_count,side_edge_speed_kmh,side_from_node,side_to_node
22,1,1501824264,enters_mainroad_node,cluster_436844951_7335400040,785130600#3,S7,1455497343#0 1455497345 785130598#8 785130600#3,1115.88,61.28,2,50.0,cluster_13748939987_3269822966,cluster_436844951_7335400040
23,1,320473386,leaves_mainroad_node,3269944950,1455497345,S7,1455497345 218773869#1,1198.44,53.68,2,50.0,3269944950,3269944951
24,1,-1125773041,enters_mainroad_node,cluster_3846576186_3846576188,218773869#1,S9,218773869#1 218773869#3,1228.19,40.17,1,50.0,3846576206,cluster_3846576186_3846576188
24,2,-381456461,leaves_mainroad_node,cluster_3846576186_3846576188,218773869#1,S9,218773869#1 218773869#3,1228.19,54.86,2,50.0,cluster_3846576186_3846576188,3846576227
24,3,320463283,leaves_mainroad_node,cluster_3846576186_3846576188,218773869#1,S9,218773869#1 218773869#3,1228.19,39.34,2,50.0,cluster_3846576186_3846576188,3846576206
24,4,381456461,enters_mainroad_node,cluster_3846576186_3846576188,218773869#1,S9,218773869#1 218773869#3,1228.19,54.12,1,50.0,3846576227,cluster_3846576186_3846576188
25,1,320463177#0,leaves_mainroad_node,3269820249,218773869#3,S9,218773869#3 218773869#4,1251.54,35.22,2,50.0,3269820249,3846576206
26,1,320463245#6,enters_mainroad_node,3269822954,218773869#4,S9,218773869#4 218773869#5,1290.91,25.82,1,50.0,3846576196,3269822954
27,1,-381456463#1,leaves_mainroad_node,cluster_10294539232_2784743529,218773869#5,S9,218773869#5 218773869#6,1324.01,41.67,2,50.0,cluster_10294539232_2784743529,3846576202
27,2,381456463#1,enters_mainroad_node,cluster_10294539232_2784743529,218773869#5,S9,218773869#5 218773869#6,1324.01,43.12,1,50.0,3846576202,cluster_10294539232_2784743529
28,1,-381456462#2,leaves_mainroad_node,cluster_10294539237_3846576172,218773869#6,S9,218773869#6 218773869#7,1406.26,47.44,2,50.0,cluster_10294539237_3846576172,3846576189
28,2,381456462#2,enters_mainroad_node,cluster_10294539237_3846576172,218773869#6,S9,218773869#6 218773869#7,1406.26,48.19,1,50.0,3846576189,cluster_10294539237_3846576172
29,1,-772527390#2,leaves_mainroad_node,cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,S9,218773869#9 219696193#1 273638834#1 781985792#3 785130598#0,1480.52,12.78,2,50.0,cluster_11346754525_11346754526_2784736947_414685366_#2more,cluster_11833012688_2784736946
29,2,219696192#0,leaves_mainroad_node,cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,S9,218773869#9 219696193#1 273638834#1 781985792#3 785130598#0,1480.52,46.87,2,50.0,cluster_11346754525_11346754526_2784736947_414685366_#2more,7168615338
29,3,772527390#2,enters_mainroad_node,cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,S9,218773869#9 219696193#1 273638834#1 781985792#3 785130598#0,1480.52,12.78,1,50.0,cluster_11833012688_2784736946,cluster_11346754525_11346754526_2784736947_414685366_#2more
30,1,-228796091#4,leaves_mainroad_node,2374697789,219696193#1,S9,219696193#1 219696193#2,1539.57,22.93,1,50.0,2374697789,7168615340
30,2,228796091#4,enters_mainroad_node,2374697789,219696193#1,S9,219696193#1 219696193#2,1539.57,23.22,1,50.0,7168615340,2374697789
31,1,-228795477#0,enters_mainroad_node,10864285556,219696193#2,S11,219696193#2 781985793#0,1580.56,59.9,1,50.0,8120895303,10864285556
31,2,228795477#0,leaves_mainroad_node,10864285556,219696193#2,S11,219696193#2 781985793#0,1580.56,59.22,1,50.0,10864285556,8120895303
32,1,-198691063#0,leaves_mainroad_node,cluster_2087933382_3285441963,347237859#0,S13,347237859#0 347237859#1,1978.32,71.78,1,50.0,cluster_2087933382_3285441963,2087933468
32,2,198691063#0,enters_mainroad_node,cluster_2087933382_3285441963,347237859#0,S13,347237859#0 347237859#1,1978.32,71.78,1,50.0,2087933468,cluster_2087933382_3285441963
33,1,-270279684#1,leaves_mainroad_node,cluster_2753218990_7495868732,347237859#1,S13,347237859#1 347237859#2 781985786#6 781985786#7,1999.88,43.12,2,50.0,cluster_2753218990_7495868732,5484607159
33,2,270279684#1,enters_mainroad_node,cluster_2753218990_7495868732,347237859#1,S13,347237859#1 347237859#2 781985786#6 781985786#7,1999.88,43.12,1,50.0,5484607159,cluster_2753218990_7495868732
34,1,198691061#0,leaves_mainroad_node,1908868479,347237859#2,S14,347237859#2 347237859#3,2016.75,65.43,2,50.0,1908868479,2087933469
35,1,198691092#5,enters_mainroad_node,1327214749,347237859#3,S14,347237859#3 347237859#4,2090.9,61.21,1,50.0,2087933392,1327214749
36,1,198691069#7,enters_mainroad_node,2087933412,347237859#5,S15,347237859#5 781985787#0,2216.25,55.01,1,50.0,2087933463,2087933412
37,1,1467498054,enters_mainroad_node,cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,S15,218915135#3 781985787#0 781985789#1 913372757,2266.75,41.55,4,50.0,8485147596,cluster_11203052955_11203052956_11203052960_11203052961_#11more
38,1,913405361,leaves_mainroad_node,8484958062,218915135#3,S16,218915135#3 218915135#4,2379.86,51.51,2,50.0,8484958062,3053674659
39,1,-243542153#1,enters_mainroad_node,cluster_10864285557_3217915254_7300992880_9357585533,218915135#4,S17,218915135#4 781983103#2 781983104#0 921117704#0,2414.6,31.48,1,50.0,7297194413,cluster_10864285557_3217915254_7300992880_9357585533
39,2,-315658899#0,enters_mainroad_node,cluster_10864285557_3217915254_7300992880_9357585533,218915135#4,S17,218915135#4 781983103#2 781983104#0 921117704#0,2414.6,143.67,1,50.0,11405764676,cluster_10864285557_3217915254_7300992880_9357585533
39,3,243542153#1,leaves_mainroad_node,cluster_10864285557_3217915254_7300992880_9357585533,218915135#4,S17,218915135#4 781983103#2 781983104#0 921117704#0,2414.6,31.17,2,50.0,cluster_10864285557_3217915254_7300992880_9357585533,7297194413
39,4,315658899#0,leaves_mainroad_node,cluster_10864285557_3217915254_7300992880_9357585533,218915135#4,S17,218915135#4 781983103#2 781983104#0 921117704#0,2414.6,144.74,2,50.0,cluster_10864285557_3217915254_7300992880_9357585533,11405764676
39,5,913406478,enters_mainroad_node,cluster_10864285557_3217915254_7300992880_9357585533,218915135#4,S17,218915135#4 781983103#2 781983104#0 921117704#0,2414.6,55.17,1,50.0,3053674659,cluster_10864285557_3217915254_7300992880_9357585533
40,1,-382947009,enters_mainroad_node,4519241101,781983104#0,S17,781983104#0 781983104#1,2506.62,139.17,1,50.0,921242929,4519241101
40,2,382947009,leaves_mainroad_node,4519241101,781983104#0,S17,781983104#0 781983104#1,2506.62,135.54,2,50.0,4519241101,921242929
41,1,821457682#1,enters_mainroad_node,7669821053,333557072#2,S19,333557072#2 333557072#3,2772.28,33.52,1,50.0,7669821052,7669821053
42,1,-651818430#3,leaves_mainroad_node,cluster_6111866303_7195225084,333557072#3,S19,333557072#3 333557072#5,2835.86,109.19,2,50.0,cluster_6111866303_7195225084,7195225069
42,2,-770860548#4,leaves_mainroad_node,cluster_6111866303_7195225084,333557072#3,S19,333557072#3 333557072#5,2835.86,33.96,2,50.0,cluster_6111866303_7195225084,7195269885
42,3,651818430#3,enters_mainroad_node,cluster_6111866303_7195225084,333557072#3,S19,333557072#3 333557072#5,2835.86,109.6,1,50.0,7195225069,cluster_6111866303_7195225084
42,4,770860548#4,enters_mainroad_node,cluster_6111866303_7195225084,333557072#3,S19,333557072#3 333557072#5,2835.86,33.92,1,50.0,7195269885,cluster_6111866303_7195225084
