input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,20,bo_r20_002_tl89_dt194_ge46_qr8_tau79,89,194,46,0.08,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,20,bo_r20_003_tl67_dt182_ge50_qr12_tau76,67,182,50,0.12,0.76,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,20,bo_r20_004_tl83_dt178_ge50_qr11_tau78,83,178,50,0.11,0.78,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,20,bo_r20_005_tl72_dt202_ge34_qr11_tau78,72,202,34,0.11,0.78,419.92,428.10,0.91,0.09,10:1,420.66,,,419.92,428.10,,1,43
BO,20260607,20,bo_r20_006_tl58_dt128_ge1_qr99_tau83,58,128,1,0.99,0.83,376.92,439.47,0.91,0.09,10:1,382.61,,,376.92,439.47,,0,112
BO,20260607,21,bo_r21_001_tl88_dt196_ge46_qr8_tau80,88,196,46,0.08,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,21,bo_r21_002_tl90_dt194_ge46_qr7_tau79,90,194,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,21,bo_r21_003_tl75_dt178_ge50_qr0_tau75,75,178,50,0.0,0.75,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,21,bo_r21_004_tl95_dt224_ge50_qr9_tau76,95,224,50,0.09,0.76,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,21,bo_r21_005_tl84_dt222_ge14_qr71_tau81,84,222,14,0.71,0.81,272.92,447.98,0.91,0.09,10:1,288.83,,,272.92,447.98,,1,56
BO,20260607,21,bo_r21_006_tl95_dt26_ge6_qr5_tau80,95,26,6,0.05,0.8,0.00,501.89,0.91,0.09,10:1,45.63,,,0.00,501.89,,1,34
