method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,8,6,6,bo_r08_006_tl1_dt114_ge1_qr99_tau88,1,114,1,0.99,0.88,1000525.16,288.83,477416.96,-501447.12,1456281.04,87.80,20.40,ei,global,False,14.82,2.96,2.21,3.22,2.69,14.82,6.35,14.82,5.38,2.69568605,5,0.722667
BO,20260607,9,1,6,bo_r09_001_tl93_dt168_ge14_qr33_tau86,93,168,14,0.33,0.86,288.83,288.83,-1242.85,-73218.77,70733.06,1.24,47.96,incumbent_exploitation,stable_success,False,35.81,11.76,7.67,9.30,7.32,35.81,13.95,35.81,14.30,3.57834797,5,0.743401
BO,20260607,9,2,6,bo_r09_002_tl92_dt167_ge15_qr32_tau87,92,167,15,0.32,0.87,387.32,288.83,36573.15,-365867.15,439013.46,23.82,45.33,stable_success_lattice,stable_success,False,34.31,11.20,7.32,8.88,7.02,34.31,13.44,34.31,13.69,3.53539124,5,0.753644
BO,20260607,9,3,6,bo_r09_003_tl107_dt120_ge8_qr20_tau90,107,120,8,0.2,0.9,455.48,288.83,451199.71,-525333.78,1427733.20,99.63,83.69,ei,local,False,65.30,22.25,14.42,17.16,13.59,65.30,25.52,65.30,26.37,4.17899970,5,0.777192
BO,20260607,9,4,6,bo_r09_004_tl107_dt120_ge18_qr33_tau88,107,120,18,0.33,0.88,1000499.22,288.83,447072.33,-529356.31,1423500.96,96.77,81.08,ei,local,False,66.61,22.65,14.73,17.40,13.98,66.61,26.45,66.61,26.97,4.19885201,5,0.818892
BO,20260607,9,5,6,bo_r09_005_tl51_dt201_ge28_qr52_tau90,51,201,28,0.52,0.9,415.21,288.83,449823.64,-526623.35,1426270.64,92.31,91.97,ei,global,False,72.85,20.18,13.78,17.57,14.43,72.85,30.15,72.85,28.16,4.28842192,5,0.789238
BO,20260607,9,6,6,bo_r09_006_tl34_dt24_ge43_qr1_tau85,34,24,43,0.01,0.85,1000045.53,288.83,458689.52,-517891.35,1435270.40,85.42,18.79,ei,global,False,12.84,3.70,2.47,3.19,2.49,12.84,5.02,12.84,4.95,2.55276796,5,0.679695
BO,20260607,10,1,6,bo_r10_001_tl95_dt166_ge13_qr32_tau85,95,166,13,0.32,0.85,1000271.13,288.83,74225.01,-316911.28,465361.30,129.25,82.21,ei,stable_success,False,60.39,20.07,13.04,15.79,12.35,60.39,23.31,60.39,24.16,4.10086296,5,0.731126
BO,20260607,10,2,6,bo_r10_002_tl95_dt166_ge13_qr32_tau87,95,166,13,0.32,0.87,1000271.13,288.83,66789.47,-355126.01,488704.95,128.02,81.77,ei,stable_success,False,61.85,20.36,13.28,16.06,12.68,61.85,24.17,61.85,24.73,4.12475863,5,0.753126
BO,20260607,10,3,6,bo_r10_003_tl95_dt157_ge12_qr39_tau87,95,157,12,0.39,0.87,402.92,288.83,262802.67,-558307.07,1083912.42,160.83,113.43,ei,local,False,87.61,28.59,18.71,22.62,17.99,87.61,34.55,87.61,35.01,4.47293399,5,0.769288
BO,20260607,10,4,6,bo_r10_004_tl95_dt156_ge12_qr25_tau87,95,156,12,0.25,0.87,402.92,288.83,251132.99,-643392.33,1145658.31,157.56,112.70,ei,trust_region,False,83.33,27.67,17.98,21.76,17.05,83.33,32.25,83.33,33.34,4.42283763,5,0.735978
BO,20260607,10,5,6,bo_r10_005_tl97_dt126_ge12_qr4_tau89,97,126,12,0.04,0.89,378.32,288.83,347505.05,-617723.53,1312733.62,143.36,100.42,ei,global,False,72.67,24.73,15.96,19.22,14.91,72.67,27.71,72.67,29.20,4.28586013,5,0.720078
BO,20260607,10,6,6,bo_r10_006_tl0_dt178_ge50_qr92_tau90,0,178,50,0.92,0.9,1000475.45,288.83,465451.98,-506724.64,1437628.60,31.11,7.38,ei,global,False,6.41,1.46,1.06,1.43,1.24,6.41,2.83,6.41,2.40,1.85758857,5,0.866648
BO,20260607,11,1,6,bo_r11_001_tl92_dt172_ge15_qr34_tau86,92,172,15,0.34,0.86,387.32,288.83,-347699.41,-624642.74,-70756.08,0.00,17.62,stable_success_lattice,stable_success,False,13.21,4.32,2.82,3.42,2.70,13.21,5.15,13.21,5.27,2.58063717,5,0.745993
BO,20260607,11,2,6,bo_r11_002_tl91_dt168_ge15_qr34_tau86,91,168,15,0.34,0.86,387.32,288.83,-459251.33,-731826.14,-186676.52,0.00,17.50,stable_success_lattice,stable_success,False,13.10,4.27,2.79,3.39,2.67,13.10,5.12,13.10,5.23,2.57276978,5,0.745256
BO,20260607,11,3,6,bo_r11_003_tl64_dt174_ge9_qr34_tau87,64,174,9,0.34,0.87,1000381.65,288.83,411986.99,-505996.55,1329970.53,130.43,63.47,ei,local,False,43.64,12.79,8.52,10.91,8.52,43.64,17.03,43.64,16.90,3.77603604,5,0.683787
BO,20260607,11,4,6,bo_r11_004_tl62_dt163_ge10_qr43_tau90,62,163,10,0.43,0.9,339.60,288.83,441106.27,-522297.62,1404510.15,134.69,62.12,ei,local,False,46.25,13.21,8.91,11.35,9.12,46.25,18.65,46.25,17.91,3.83395898,5,0.741035
BO,20260607,11,5,6,bo_r11_005_tl90_dt198_ge47_qr7_tau79,90,198,47,0.07,0.79,277.55,277.55,450299.29,-524774.36,1425372.94,97.13,80.36,ei,global,False,56.30,19.98,12.75,15.21,11.61,56.30,20.95,56.30,22.80,4.03065318,5,0.696854
