method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,2,5,6,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,144.92,104.45,141.24,141.24,0.00,PASS,,recovery_detected,True,False,0,567,0,27,274.86,133.60,416.13,,,,,,,,,,,,,,,141.24,,,
BO,20260607,2,6,6,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,288.92,143.41,275.69,141.24,0.00,PASS,,recovery_detected,True,False,0,721,0,63,274.86,133.60,416.13,,,,,,,,,,,,,,,275.69,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,192.92,131.51,187.34,141.24,0.00,PASS,,recovery_detected,True,False,0,2605,0,59,258.98,125.83,392.12,,,,,,,,,,,,,,,187.34,,,
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,165.92,105.67,160.44,141.24,0.00,PASS,,recovery_detected,True,False,0,961,0,27,258.98,125.83,392.12,,,,,,,,,,,,,,,160.44,,,
BO,20260607,3,3,6,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,262.92,134.33,251.23,141.24,0.00,PASS,,recovery_detected,True,False,0,4644,0,18,258.98,125.83,392.12,,,,,,,,,,,,,,,251.23,,,
BO,20260607,3,4,6,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,290.92,131.64,276.44,141.24,0.00,PASS,,recovery_detected,True,False,0,394,1,52,258.98,125.83,392.12,,,,,,,,,,,,,,,276.44,,,
BO,20260607,3,5,6,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,249.92,143.15,240.21,141.24,0.00,PASS,,recovery_detected,True,False,0,1024,0,91,258.98,125.83,392.12,,,,,,,,,,,,,,,240.21,,,
BO,20260607,3,6,6,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,264.92,123.07,252.02,141.24,0.00,PASS,,recovery_detected,True,False,0,399,0,31,258.98,125.83,392.12,,,,,,,,,,,,,,,252.02,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,113.92,105.91,113.19,113.19,0.00,PASS,,recovery_detected,True,False,0,671,1,22,248.63,127.23,370.03,,,,,,,,,,,,,,,113.19,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,90.92,120.69,93.63,93.63,0.00,PASS,,recovery_detected,True,False,0,1688,1,19,248.63,127.23,370.03,,,,,,,,,,,,,,,93.63,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,325.92,144.70,309.45,93.63,0.00,PASS,,recovery_detected,True,False,0,1093,0,107,248.63,127.23,370.03,,,,,,,,,,,,,,,309.45,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,519.92,148.23,486.13,93.63,0.00,PASS,,recovery_detected,True,False,0,652,0,80,248.63,127.23,370.03,,,,,,,,,,,,,,,486.13,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,308.92,125.56,292.25,93.63,0.00,PASS,,recovery_detected,True,False,0,772,0,48,248.63,127.23,370.03,,,,,,,,,,,,,,,292.25,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,144.92,106.02,141.38,93.63,0.00,PASS,,recovery_detected,True,False,0,2911,0,18,248.63,127.23,370.03,,,,,,,,,,,,,,,141.38,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,137.92,101.24,134.59,93.63,0.00,PASS,,recovery_detected,True,False,0,1653,0,28,246.31,74.32,418.30,,,,,,,,,,,,,,,134.59,,,
BO,20260607,5,2,6,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,270.92,124.72,257.63,93.63,0.00,PASS,,recovery_detected,True,False,0,266,1,32,246.31,74.32,418.30,,,,,,,,,,,,,,,257.63,,,
BO,20260607,5,3,6,bo_r05_003_tl30_dt173_ge9_qr30_tau90,30,173,9,0.3,0.9,333.92,147.40,316.96,93.63,0.00,PASS,,recovery_detected,True,False,0,1030,1,71,246.31,74.32,418.30,,,,,,,,,,,,,,,316.96,,,
BO,20260607,5,4,6,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,108.92,114.75,109.45,93.63,0.00,PASS,,recovery_detected,True,False,0,1328,0,19,246.31,74.32,418.30,,,,,,,,,,,,,,,109.45,,,
