edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
333557072#1,2,3,3,3,93.097241,0.3,23.48,S18 S19,upbound,2,0.0,False,edge_weighted_majority_lane_target
347237859#0,2,3,2,3,130.35,0.75,60.96,S12 S13,upbound,2,0.0,True,isolated_lane_gap_smoothing
347237859#1,2,3,3,3,100.736364,1.0,21.31,S12 S13 S14,upbound,3,0.0,False,edge_weighted_majority_lane_target
347237859#4,2,3,3,3,146.724242,0.590909,78.75,S14 S15,upbound,2,0.0,False,edge_weighted_majority_lane_target
37402371,2,3,3,3,8.585714,0.071429,12.57,S22,upbound,1,0.0,False,edge_weighted_majority_lane_target
420361196,2,2,2,2,248.554348,1.0,182.02,S10 S11 S12,upbound,3,0.0,False,edge_weighted_majority_lane_target
578313748#2,2,3,3,3,90.857143,0.4,12.4,S2 S3,upbound,2,0.0,False,edge_weighted_majority_lane_target
585341906#0,2,3,3,3,34.342857,0.285714,19.32,S22,upbound,1,0.0,False,edge_weighted_majority_lane_target
585341907#0,2,3,3,3,34.342857,0.285714,16.16,S22,upbound,1,0.0,False,edge_weighted_majority_lane_target
781983104#1,2,3,3,3,264.263521,1.0,198.47,S17 S18 S19,upbound,3,0.0,False,edge_weighted_majority_lane_target
781985793#1,2,2,2,2,120.882299,0.434783,51.05,S10 S11,upbound,2,0.0,False,edge_weighted_majority_lane_target
785130600#3,2,2,2,3,123.216667,0.833333,54.11,S7 S8,upbound,2,0.0,False,edge_weighted_majority_lane_target
800229255,2,3,3,3,81.985714,0.3,10.09,S2 S3,upbound,2,0.0,False,edge_weighted_majority_lane_target
180368918#5,2,3,3,3,91.107143,0.357143,19.64,S3 S4,upbound,2,0.020646,False,edge_weighted_majority_lane_target
347237859#2,2,3,3,3,87.172727,0.5,16.88,S13 S14,upbound,2,0.041555,False,edge_weighted_majority_lane_target
-218684411#0,3,3,3,3,57.875676,0.162162,11.54,S1,upbound,1,0.050807,False,edge_weighted_majority_lane_target
218773868#0,2,2,2,2,57.991304,0.130435,16.63,S6,upbound,1,0.074986,False,edge_weighted_majority_lane_target
428260110,2,2,2,2,105.040096,0.222222,34.76,S6 S7,upbound,2,0.075595,False,edge_weighted_majority_lane_target
1455497345,2,3,3,3,159.968821,1.0,84.46,S7 S8 S9,upbound,3,0.078306,False,edge_weighted_majority_lane_target
180368915#1,2,3,2,2,74.013975,0.357143,12.3,S10 S11,upbound,2,0.115697,True,isolated_lane_gap_smoothing
333557072#2,2,3,3,3,113.603793,0.310345,46.83,S18 S19,upbound,2,0.121674,False,edge_weighted_majority_lane_target
781985789#0,1,3,3,3,73.533333,0.333333,12.02,S16,upbound,1,0.134941,False,edge_weighted_majority_lane_target
-174870621#10,2,3,3,3,77.167568,0.216216,14.55,S1,upbound,1,0.13614,False,edge_weighted_majority_lane_target
585341906#2,2,3,3,3,60.1,0.5,15.39,S22,upbound,1,0.146261,False,edge_weighted_majority_lane_target
347237859#5,2,3,3,3,118.331818,0.5,46.2,S14 S15,upbound,2,0.149154,False,edge_weighted_majority_lane_target
218915133#0,2,2,2,2,54.9,0.272727,5.7,S12,upbound,1,0.172741,False,edge_weighted_majority_lane_target
219696193#1,2,2,2,3,121.725733,0.478261,59.95,S10 S9,upbound,2,0.178503,False,edge_weighted_majority_lane_target
-174870621#9,2,3,3,3,77.167568,0.216216,7.65,S1,upbound,1,0.181969,False,edge_weighted_majority_lane_target
218773868#2,2,3,2,2,86.986957,0.195652,49.02,S6,upbound,1,0.190614,True,isolated_lane_gap_smoothing
218773869#1,2,3,3,3,105.263265,0.22449,31.3,S9,upbound,1,0.207916,False,edge_weighted_majority_lane_target
785130600#0,2,3,2,2,104.561111,0.305556,39.71,S7,upbound,1,0.20887,True,isolated_lane_gap_smoothing
781985789#1,1,3,3,3,73.533333,0.333333,17.96,S16,upbound,1,0.210839,False,edge_weighted_majority_lane_target
585341907#2,2,3,3,3,68.685714,0.571429,27.53,S22,upbound,1,0.226052,False,edge_weighted_majority_lane_target
180368918#0,2,3,3,3,119.257143,0.642857,46.75,S2 S3,upbound,2,0.233333,False,edge_weighted_majority_lane_target
-381802847#0,1,3,3,3,202.675676,0.8,151.13,S1 S2,upbound,2,0.25365,False,edge_weighted_majority_lane_target
347237859#3,2,3,3,3,145.931818,0.681818,74.17,S13 S14,upbound,2,0.284864,False,edge_weighted_majority_lane_target
180368918#6,2,3,3,3,81.171428,0.571429,20.62,S3 S4,upbound,2,0.293648,False,edge_weighted_majority_lane_target
218915133#1,2,3,2,2,91.5,0.454545,34.29,S12,upbound,1,0.297933,True,isolated_lane_gap_smoothing
-174870621#8,2,3,3,3,115.751351,0.324324,56.75,S1,upbound,1,0.305676,False,edge_weighted_majority_lane_target
913702834,1,2,2,3,38.035714,0.5,28.2,S4 S5,upbound,2,0.320269,False,edge_weighted_majority_lane_target
218773868#3,2,2,2,2,67.656522,0.152174,23.45,S6,upbound,1,0.330243,False,edge_weighted_majority_lane_target
218773869#3,2,3,3,3,86.12449,0.183673,24.42,S9,upbound,1,0.333513,False,edge_weighted_majority_lane_target
-174870621#0,2,3,3,3,136.345946,0.7,70.47,S1 S2,upbound,2,0.339479,False,edge_weighted_majority_lane_target
333557072#3,2,3,3,3,105.372414,0.37931,63.06,S19,upbound,1,0.348048,False,edge_weighted_majority_lane_target
785130600#1,2,3,2,2,76.044444,0.222222,18.13,S7,upbound,1,0.35266,True,isolated_lane_gap_smoothing
619147738#0,2,3,3,3,104.777241,1.0,99.87,S19 S20 S21,upbound,3,0.384115,False,edge_weighted_majority_lane_target
180368915#2,2,3,2,2,82.864286,0.642857,42.36,S11,upbound,1,0.415448,True,isolated_lane_gap_smoothing
218773869#4,2,3,3,3,105.263265,0.22449,39.45,S9,upbound,1,0.425156,False,edge_weighted_majority_lane_target
