tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
2471514433,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5619,CIB1161096400,joinedS_3846493837_cluster_2515564080_436883154,,,0.0,85,43,36,3,32,0.585,etLtsgRmdrCs,1.9,"nearest A008=엠버서더호텔(연등) (9.2m), no direct timing hit; borrowed source_tls=joinedS_3846493837_cluster_2515564080_436883154 at 63.3m"
1327210743,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5619,CIB1161096400,3846493836,,,0.0,85,43,36,3,40,0.525,etLtsgRmdrCs,1.9,"nearest A008=엠버서더호텔(연등) (152.8m), no direct timing hit; borrowed source_tls=3846493836 at 257.8m"
8487751470,global_location_fallback,nearest_similar_A008_or_API_signal_profile,612,CIB1070033700,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,,,0.0,110,64,40,3,45,0.45,,0.0,"nearest A008=퇴계로5가 (126.0m), no direct timing hit; borrowed source_tls=joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more at 124.7m"
3285441969,global_location_direct,A008_global_TData_SPAT_direct,648,CIB1070033700,3285441969,,,0.0,110,65,39,3,72,0.705,neBssgRmdrCs,91.3,nearest A008=퇴계로2가; direct timing hit for itstId=648
5851251281,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5256,CIB1210102800,13732389938,,,0.0,115,60,49,3,31,0.54,etLtsgRmdrCs,103.2,"nearest A008=덕수궁앞 (27.8m), no direct timing hit; borrowed source_tls=13732389938 at 457.9m"
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,5921,CIB1070033600,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,B4_MOVEMENT_16,S21:upbound,59.0,100,75,19,3,13,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S19_S20_SEVERANCE_BUILDING at route_order=58.0
cluster_4276316582_436883143,global_location_fallback,nearest_similar_A008_or_API_signal_profile,859,CIB1070033600,CSV_TLS_S19_S20_SEVERANCE_BUILDING,,,0.0,100,64,30,3,51,0.62,seLtsgRmdrCs,102.1,"nearest A008=힐튼호텔 (33.2m), no direct timing hit; borrowed source_tls=CSV_TLS_S19_S20_SEVERANCE_BUILDING at 293.0m"
11059693772,global_location_fallback,nearest_similar_A008_or_API_signal_profile,859,CIB1070033600,CSV_TLS_S18_S19_SAMSEON_BUILDING,,,0.0,100,64,30,3,17,0.45,,0.0,"nearest A008=힐튼호텔 (7.4m), no direct timing hit; borrowed source_tls=CSV_TLS_S18_S19_SAMSEON_BUILDING at 281.0m"
cluster_2457731125_436856300,global_location_fallback,nearest_similar_A008_or_API_signal_profile,859,CIB1070033600,CSV_TLS_S18_S19_SAMSEON_BUILDING,,,0.0,100,64,30,3,23,0.45,,0.0,"nearest A008=힐튼호텔 (41.8m), no direct timing hit; borrowed source_tls=CSV_TLS_S18_S19_SAMSEON_BUILDING at 301.4m"
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,624,CIB1070033700,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,110,75,29,3,34,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
