edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
781985787#0,3,2,1,S15,upbound,1,S15,upbound,0.722222,validated_toegye_dominant_mainline_lane_override
781985793#0,2,2,0,S10,upbound,1,S10,upbound,0.478261,validated_toegye_dominant_mainline_lane_override
782892492#0,2,1,1,S11,downbound,1,S11,downbound,0.642857,validated_toegye_dominant_mainline_lane_override
782892492#1,2,1,1,S11,downbound,1,S11,downbound,0.714286,validated_toegye_dominant_mainline_lane_override
783692390#0,2,1,1,S12,downbound,1,S12,downbound,0.727273,validated_toegye_dominant_mainline_lane_override
785130598#1,2,2,0,S9,downbound,1,S9,downbound,0.469388,validated_toegye_dominant_mainline_lane_override
785130598#7,2,2,0,S8,downbound,1,S8,downbound,0.833333,validated_toegye_dominant_mainline_lane_override
785130600#2,2,2,0,S7,upbound,1,S7,upbound,0.583333,validated_toegye_dominant_mainline_lane_override
785130600#3,3,2,1,S8,upbound,1,S8,upbound,0.833333,validated_toegye_dominant_mainline_lane_override
913702834,2,1,1,S5,upbound,1,S5,upbound,0.5,validated_toegye_dominant_mainline_lane_override
