segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,segment_length_m,match_ratio,current_lanes,target_lanes,lane_delta,repair_target,repair_reason
S2,downbound,183272647,2,0.0,54.3,181.0,0.3,1,3,2,False,excluded_connector_or_low_overlap
S2,downbound,218923178#7,3,0.0,18.1,181.0,0.1,3,3,0,True,mainline_overlap_lane_repair
S2,downbound,-800229255,4,0.075433,54.3,181.0,0.3,2,3,1,True,mainline_overlap_lane_repair
S2,downbound,578313749#0,5,0.155563,72.4,181.0,0.4,3,3,0,True,mainline_overlap_lane_repair
S2,downbound,-578313748#2,6,0.17258,72.4,181.0,0.4,2,3,1,True,mainline_overlap_lane_repair
S2,downbound,-578313748#0,7,0.362208,81.45,181.0,0.45,2,3,1,True,mainline_overlap_lane_repair
S2,downbound,174870621#0,8,0.660165,126.7,181.0,0.7,2,3,1,True,mainline_overlap_lane_repair
S2,downbound,381802847#0,9,0.746941,135.75,181.0,0.75,1,3,2,False,excluded_connector_or_low_overlap
S2,downbound,174870621#1,10,1.0,54.3,181.0,0.3,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,578313748#2,1,0.0,18.457143,129.2,0.142857,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,800229255,2,0.0,27.685714,129.2,0.214286,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,180368918#0,3,0.233305,83.057143,129.2,0.642857,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,180368918#3,4,0.71911,83.057143,129.2,0.642857,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,180368918#5,5,0.996539,46.142857,129.2,0.357143,2,3,1,True,mainline_overlap_lane_repair
S3,upbound,180368918#6,6,1.0,9.228571,129.2,0.071429,2,3,1,False,excluded_connector_or_low_overlap
S3,downbound,-180368918#5,1,0.0,46.142857,129.2,0.357143,2,3,1,True,mainline_overlap_lane_repair
S3,downbound,-180368918#6,2,0.0,9.228571,129.2,0.071429,2,3,1,False,excluded_connector_or_low_overlap
S3,downbound,-180368918#3,3,0.268276,83.057143,129.2,0.642857,2,3,1,True,mainline_overlap_lane_repair
S3,downbound,-180368918#0,4,0.751604,83.057143,129.2,0.642857,2,3,1,True,mainline_overlap_lane_repair
S3,downbound,183272647,5,0.82347,64.6,129.2,0.5,1,3,2,False,excluded_connector_or_low_overlap
S3,downbound,218923178#7,6,0.879399,9.228571,129.2,0.071429,3,3,0,False,excluded_connector_or_low_overlap
S3,downbound,-578313748#2,7,1.0,9.228571,129.2,0.071429,2,3,1,False,excluded_connector_or_low_overlap
S3,downbound,-800229255,8,1.0,27.685714,129.2,0.214286,2,3,1,True,mainline_overlap_lane_repair
S4,upbound,180368918#3,1,0.0,8.992857,125.9,0.071429,2,3,1,False,excluded_connector_or_low_overlap
S4,upbound,180368918#5,2,0.020565,44.964286,125.9,0.357143,2,3,1,True,mainline_overlap_lane_repair
S4,upbound,180368918#6,3,0.293571,71.942857,125.9,0.571429,2,3,1,True,mainline_overlap_lane_repair
S4,upbound,180368918#7,4,0.717017,89.928571,125.9,0.714286,2,3,1,True,mainline_overlap_lane_repair
S4,upbound,180368918#8,5,1.0,17.985714,125.9,0.142857,2,3,1,True,mainline_overlap_lane_repair
S4,upbound,913702834,6,1.0,17.985714,125.9,0.142857,1,3,2,False,excluded_connector_or_low_overlap
S4,downbound,-180368918#8,1,0.0,17.985714,125.9,0.142857,2,3,1,True,mainline_overlap_lane_repair
S4,downbound,1395426737#0,2,0.0,8.992857,125.9,0.071429,1,3,2,False,excluded_connector_or_low_overlap
S4,downbound,1395426737#1,3,0.0,26.978571,125.9,0.214286,1,3,2,False,excluded_connector_or_low_overlap
S4,downbound,-180368918#7,4,0.279932,89.928571,125.9,0.714286,2,3,1,True,mainline_overlap_lane_repair
S4,downbound,-180368918#6,5,0.704498,80.935714,125.9,0.642857,2,3,1,True,mainline_overlap_lane_repair
S4,downbound,-180368918#5,6,0.977504,44.964286,125.9,0.357143,2,3,1,True,mainline_overlap_lane_repair
S4,downbound,-180368918#3,7,1.0,17.985714,125.9,0.142857,2,3,1,True,mainline_overlap_lane_repair
S5,upbound,180368918#7,1,0.0,13.366667,40.1,0.333333,2,2,0,False,excluded_connector_or_low_overlap
S5,upbound,913702834,2,0.320139,20.05,40.1,0.5,1,2,1,False,excluded_connector_or_low_overlap
S5,upbound,180368918#8,3,0.555859,40.1,40.1,1.0,2,2,0,True,mainline_overlap_lane_repair
S5,downbound,-218773868#0,1,0.0,6.683333,40.1,0.166667,2,3,1,False,excluded_connector_or_low_overlap
S5,downbound,1395426737#0,2,0.0,40.1,40.1,1.0,1,3,2,False,excluded_connector_or_low_overlap
S5,downbound,-180368918#8,3,0.43187,40.1,40.1,1.0,2,3,1,True,mainline_overlap_lane_repair
S5,downbound,1395426737#1,4,0.633087,40.1,40.1,1.0,1,3,2,False,excluded_connector_or_low_overlap
S5,downbound,-180368918#7,5,1.0,20.05,40.1,0.5,2,3,1,True,mainline_overlap_lane_repair
S6,upbound,180368918#8,1,0.0,19.330435,444.6,0.043478,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#0,2,0.074964,57.991304,444.6,0.130435,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#2,3,0.190606,86.986957,444.6,0.195652,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#3,4,0.330221,67.656522,444.6,0.152174,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#4,5,0.467849,106.317391,444.6,0.23913,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#5,6,0.619796,86.986957,444.6,0.195652,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,218773868#6,7,0.720547,57.991304,444.6,0.130435,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,-1455512070,8,0.842916,125.647826,444.6,0.282609,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,-1455512069,9,1.0,38.66087,444.6,0.086957,2,2,0,True,mainline_overlap_lane_repair
S6,upbound,428260110,10,1.0,28.995652,444.6,0.065217,2,2,0,True,mainline_overlap_lane_repair
S6,downbound,1455512066,1,0.0,28.995652,444.6,0.065217,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,1455512069,2,0.0,38.66087,444.6,0.086957,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,785130603,3,0.0,28.995652,444.6,0.065217,1,3,2,False,excluded_connector_or_low_overlap
S6,downbound,1455512070,4,0.157747,125.647826,444.6,0.282609,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#6,5,0.279859,77.321739,444.6,0.173913,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#5,6,0.380389,106.317391,444.6,0.23913,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#4,7,0.532396,115.982609,444.6,0.26087,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#3,8,0.670233,77.321739,444.6,0.173913,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#2,9,0.809906,96.652174,444.6,0.217391,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,-218773868#0,10,0.923933,67.656522,444.6,0.152174,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,1395426737#0,11,0.990988,57.991304,444.6,0.130435,1,3,2,False,excluded_connector_or_low_overlap
S6,downbound,-180368918#8,12,1.0,28.995652,444.6,0.065217,2,3,1,True,mainline_overlap_lane_repair
S6,downbound,1395426737#1,13,1.0,9.665217,444.6,0.021739,1,3,2,False,excluded_connector_or_low_overlap
S7,upbound,-1455512069,1,0.006336,38.022222,342.2,0.111111,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,428260110,2,0.07143,76.044444,342.2,0.222222,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,785130600#0,3,0.208838,104.561111,342.2,0.305556,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,785130600#1,4,0.352639,76.044444,342.2,0.222222,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,381453320#0,5,0.435046,57.033333,342.2,0.166667,1,2,1,False,excluded_connector_or_low_overlap
S7,upbound,785130600#2,6,0.627046,199.616667,342.2,0.583333,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,785130600#3,7,0.930874,85.55,342.2,0.25,2,2,0,True,mainline_overlap_lane_repair
S7,upbound,1455497345,8,1.0,9.505556,342.2,0.027778,2,2,0,False,excluded_connector_or_low_overlap
S7,downbound,1455497343#0,1,0.044306,66.538889,342.2,0.194444,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,1455497343#1,2,0.229189,142.583333,342.2,0.416667,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,1455497343#2,3,0.434645,95.055556,342.2,0.277778,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,-381453320#0,4,0.558504,66.538889,342.2,0.194444,1,3,2,False,excluded_connector_or_low_overlap
S7,downbound,1455497343#3,5,0.586787,114.066667,342.2,0.333333,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,1455497343#4,6,0.790566,133.077778,342.2,0.388889,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,1455512066,7,0.955128,66.538889,342.2,0.194444,2,3,1,True,mainline_overlap_lane_repair
S7,downbound,785130603,8,0.970039,66.538889,342.2,0.194444,1,3,2,False,excluded_connector_or_low_overlap
S7,downbound,1455512069,9,0.995067,38.022222,342.2,0.111111,2,3,1,True,mainline_overlap_lane_repair
S8,upbound,785130600#3,1,0.0,37.666667,45.2,0.833333,2,3,1,True,mainline_overlap_lane_repair
S8,upbound,1455497345,2,1.0,45.2,45.2,1.0,2,3,1,True,mainline_overlap_lane_repair
S8,downbound,785130598#7,1,0.0,37.666667,45.2,0.833333,2,2,0,True,mainline_overlap_lane_repair
S8,downbound,1455497343#0,2,1.0,30.133333,45.2,0.666667,2,2,0,True,mainline_overlap_lane_repair
S9,upbound,1455497345,1,0.078296,105.263265,468.9,0.22449,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#1,2,0.207914,105.263265,468.9,0.22449,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#3,3,0.333513,86.12449,468.9,0.183673,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#4,4,0.425144,105.263265,468.9,0.22449,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#5,5,0.523052,105.263265,468.9,0.22449,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#6,6,0.675817,153.110204,468.9,0.326531,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,-273638834#4,7,0.848332,57.416327,468.9,0.122449,1,3,2,False,excluded_connector_or_low_overlap
S9,upbound,218773869#7,8,0.864336,114.832653,468.9,0.244898,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,218773869#8,9,0.92991,76.555102,468.9,0.163265,2,3,1,True,mainline_overlap_lane_repair
S9,upbound,219696193#0,10,0.99337,38.277551,468.9,0.081633,2,3,1,True,mainline_overlap_lane_repair
