method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,12,2,6,bo_r12_002_tl51_dt11_ge50_qr97_tau88,51,11,50,0.97,0.88,161.92,86.17,155.03,91.20,0.00,PASS,,recovery_detected,True,False,0,3274,0,17,232.73,81.70,383.77,0.98,0.98,0.73,0.70,0.72,0.71,0.98,0.82,0.98,0.77,-0.02520761,5,0.994202,155.03,,,
BO,20260607,12,3,6,bo_r12_003_tl90_dt163_ge49_qr100_tau84,90,163,49,1.0,0.84,302.92,79.03,282.57,91.20,0.00,PASS,,recovery_detected,True,False,0,347,0,31,232.73,81.70,383.77,0.97,0.97,0.74,0.70,0.72,0.71,0.97,0.81,0.97,0.78,-0.02964042,5,0.981590,282.57,,,
BO,20260607,12,4,6,bo_r12_004_tl115_dt164_ge50_qr61_tau88,115,164,50,0.61,0.88,400.92,78.81,371.64,91.20,0.00,PASS,,recovery_detected,True,False,0,220,0,34,232.73,81.70,383.77,0.97,0.97,0.75,0.71,0.72,0.71,0.97,0.81,0.97,0.78,-0.03072293,5,0.978519,371.64,,,
BO,20260607,12,5,6,bo_r12_005_tl107_dt175_ge48_qr89_tau84,107,175,48,0.89,0.84,303.92,80.26,283.59,91.20,0.00,PASS,,recovery_detected,True,False,0,366,0,32,232.73,81.70,383.77,0.97,0.97,0.74,0.71,0.72,0.71,0.97,0.81,0.97,0.78,-0.03078103,5,0.978354,283.59,,,
BO,20260607,12,6,6,bo_r12_006_tl121_dt149_ge35_qr68_tau89,121,149,35,0.68,0.89,262.92,90.00,247.20,91.20,0.00,PASS,,recovery_detected,True,False,0,340,0,34,232.73,81.70,383.77,0.97,0.97,0.75,0.71,0.72,0.71,0.97,0.81,0.97,0.78,-0.03301896,5,0.972016,247.20,,,
BO,20260607,13,1,6,bo_r13_001_tl95_dt84_ge39_qr94_tau88,95,84,39,0.94,0.88,299.92,84.36,280.32,91.20,0.00,PASS,,recovery_detected,True,False,0,315,0,36,235.82,85.43,386.21,0.86,0.86,0.65,0.62,0.63,0.62,0.86,0.72,0.86,0.69,-0.15096890,5,1.000000,280.32,,,
BO,20260607,13,2,6,bo_r13_002_tl98_dt222_ge44_qr91_tau90,98,222,44,0.91,0.9,248.92,80.57,233.62,91.20,0.00,PASS,,recovery_detected,True,False,0,173,0,29,235.82,85.43,386.21,0.86,0.86,0.65,0.62,0.63,0.62,0.86,0.72,0.86,0.69,-0.15096890,5,1.000000,233.62,,,
BO,20260607,13,3,6,bo_r13_003_tl103_dt40_ge48_qr100_tau83,103,40,48,1.0,0.83,137.92,88.67,133.44,91.20,0.00,PASS,,recovery_detected,True,False,0,1440,0,19,235.82,85.43,386.21,0.86,0.86,0.66,0.62,0.64,0.62,0.86,0.72,0.86,0.69,-0.15096890,5,1.000000,133.44,,,
BO,20260607,13,4,6,bo_r13_004_tl115_dt6_ge46_qr59_tau89,115,6,46,0.59,0.89,180.92,92.55,172.89,91.20,0.00,PASS,,recovery_detected,True,False,0,4137,0,18,235.82,85.43,386.21,0.86,0.86,0.66,0.63,0.64,0.62,0.86,0.72,0.86,0.69,-0.15096890,5,1.000000,172.89,,,
BO,20260607,13,5,6,bo_r13_005_tl118_dt26_ge47_qr97_tau84,118,26,47,0.97,0.84,137.92,78.59,132.53,91.20,0.00,PASS,,recovery_detected,True,False,0,2173,0,17,235.82,85.43,386.21,0.86,0.86,0.66,0.63,0.64,0.63,0.86,0.73,0.86,0.69,-0.15096890,5,1.000000,132.53,,,
BO,20260607,13,6,6,bo_r13_006_tl119_dt67_ge45_qr85_tau89,119,67,45,0.85,0.89,191.92,77.30,181.50,91.20,0.00,PASS,,recovery_detected,True,False,0,645,0,25,235.82,85.43,386.21,0.86,0.86,0.66,0.63,0.64,0.63,0.86,0.73,0.86,0.69,-0.15096890,5,1.000000,181.50,,,
BO,20260607,14,1,6,bo_r14_001_tl114_dt161_ge49_qr97_tau85,114,161,49,0.97,0.85,302.92,79.03,282.57,91.20,0.00,PASS,,recovery_detected,True,False,0,347,0,31,232.22,82.86,381.58,0.93,0.93,0.72,0.68,0.69,0.68,0.93,0.78,0.93,0.75,-0.06972113,5,1.000000,282.57,,,
BO,20260607,14,2,6,bo_r14_002_tl121_dt13_ge50_qr98_tau90,121,13,50,0.98,0.9,145.92,79.26,139.86,91.20,0.00,PASS,,recovery_detected,True,False,0,3043,0,17,232.22,82.86,381.58,0.93,0.93,0.73,0.69,0.70,0.69,0.93,0.81,0.93,0.76,-0.06972113,5,1.000000,139.86,,,
BO,20260607,14,3,6,bo_r14_003_tl98_dt62_ge44_qr94_tau83,98,62,44,0.94,0.83,238.92,77.27,224.22,91.20,0.00,PASS,,recovery_detected,True,False,0,748,0,29,232.22,82.86,381.58,0.93,0.93,0.71,0.67,0.69,0.67,0.93,0.78,0.93,0.74,-0.07647074,5,0.980780,224.22,,,
BO,20260607,14,4,6,bo_r14_004_tl76_dt26_ge48_qr70_tau89,76,26,48,0.7,0.89,137.92,78.59,132.53,91.20,0.00,PASS,,recovery_detected,True,False,0,2173,0,17,232.22,82.86,381.58,0.92,0.92,0.70,0.67,0.68,0.67,0.92,0.78,0.92,0.74,-0.07905679,5,0.973451,132.53,,,
BO,20260607,14,5,6,bo_r14_005_tl98_dt37_ge29_qr76_tau90,98,37,29,0.76,0.9,113.92,81.98,111.02,91.20,0.00,PASS,,recovery_detected,True,False,0,1555,0,26,232.22,82.86,381.58,0.92,0.92,0.71,0.67,0.69,0.67,0.92,0.77,0.92,0.74,-0.07939623,5,0.972490,111.02,,,
BO,20260607,14,6,6,bo_r14_006_tl118_dt39_ge22_qr78_tau88,118,39,22,0.78,0.88,136.92,82.44,131.97,91.20,0.00,PASS,,recovery_detected,True,False,0,1516,0,31,232.22,82.86,381.58,0.92,0.92,0.71,0.67,0.69,0.67,0.92,0.77,0.92,0.74,-0.08139379,5,0.966843,131.97,,,
BO,20260607,15,1,6,bo_r15_001_tl113_dt134_ge30_qr91_tau89,113,134,30,0.91,0.89,286.92,115.42,271.33,91.20,0.00,PASS,,recovery_detected,True,False,0,292,0,40,227.80,77.02,378.58,1.14,1.14,0.87,0.82,0.84,0.82,1.14,0.95,1.14,0.91,0.12960169,5,1.000000,271.33,,,
BO,20260607,15,2,6,bo_r15_002_tl118_dt21_ge36_qr75_tau88,118,21,36,0.75,0.88,144.92,103.21,141.13,91.20,0.00,PASS,,recovery_detected,True,False,0,2674,0,19,227.80,77.02,378.58,1.14,1.14,0.87,0.83,0.84,0.83,1.14,0.95,1.14,0.91,0.12960169,5,1.000000,141.13,,,
BO,20260607,15,3,6,bo_r15_003_tl119_dt65_ge43_qr84_tau82,119,65,43,0.84,0.82,191.92,106.60,184.16,91.20,0.00,PASS,,recovery_detected,True,False,0,728,0,25,227.80,77.02,378.58,1.13,1.13,0.87,0.83,0.84,0.82,1.13,0.94,1.13,0.91,0.12198088,5,0.978309,184.16,,,
BO,20260607,15,4,6,bo_r15_004_tl62_dt4_ge50_qr77_tau89,62,4,50,0.77,0.89,283.92,134.78,270.36,91.20,0.00,PASS,,recovery_detected,True,False,0,5241,0,18,227.80,77.02,378.58,1.13,1.13,0.85,0.82,0.83,0.82,1.13,0.95,1.13,0.90,0.12195169,5,0.978226,270.36,,,
BO,20260607,15,5,6,bo_r15_005_tl100_dt115_ge23_qr100_tau88,100,115,23,1.0,0.88,280.92,122.79,266.54,91.20,0.00,PASS,,recovery_detected,True,False,0,431,0,44,227.80,77.02,378.58,1.13,1.13,0.86,0.82,0.84,0.82,1.13,0.95,1.13,0.90,0.11950416,5,0.971295,266.54,,,
