route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_005,38,219696192#5,219696192#7,0.015,normal
ER_ACC_005,39,219696192#7,219696192#9,0.315,normal
ER_ACC_005,40,219696192#9,824132484#0,1.644,normal
ER_ACC_005,41,824132484#0,824132486,0.0,normal
ER_ACC_005,42,824132486,184083187#0,0.0,normal
ER_ACC_005,43,184083187#0,-228795481#1,88.389,normal
ER_ACC_005,44,-228795481#1,-228795481#0,87.62,normal
ER_ACC_006,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_006,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_006,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_006,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_006,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_006,6,578313748#0,578313748#2,2.534,normal
ER_ACC_006,7,578313748#2,800229255,1.08,normal
ER_ACC_006,8,800229255,180368918#0,2.43,normal
ER_ACC_006,9,180368918#0,180368918#3,0.87,normal
ER_ACC_006,10,180368918#3,180368918#5,2.577,normal
ER_ACC_006,11,180368918#5,180368918#6,0.01,normal
ER_ACC_006,12,180368918#6,180368918#7,1.311,normal
ER_ACC_006,13,180368918#7,180368918#8,2.333,normal
ER_ACC_006,14,180368918#8,218773868#0,1.645,normal
ER_ACC_006,15,218773868#0,218773868#2,6.453,normal
ER_ACC_006,16,218773868#2,218773868#3,0.227,normal
ER_ACC_006,17,218773868#3,218773868#4,1.127,normal
ER_ACC_006,18,218773868#4,218773868#5,0.019,normal
ER_ACC_006,19,218773868#5,218773868#6,0.918,normal
ER_ACC_006,20,218773868#6,-1455512070,1.016,normal
ER_ACC_006,21,-1455512070,-1455512069,1.265,normal
ER_ACC_006,22,-1455512069,428260110,2.189,normal
ER_ACC_006,23,428260110,785130600#0,5.536,normal
ER_ACC_006,24,785130600#0,785130600#1,8.278,normal
ER_ACC_006,25,785130600#1,785130600#2,4.928,normal
ER_ACC_006,26,785130600#2,785130600#3,1.533,normal
ER_ACC_006,27,785130600#3,1455497345,1.122,normal
ER_ACC_006,28,1455497345,218773869#1,1.649,normal
ER_ACC_006,29,218773869#1,218773869#3,1.256,normal
ER_ACC_006,30,218773869#3,218773869#4,1.01,normal
ER_ACC_006,31,218773869#4,218773869#5,2.551,normal
ER_ACC_006,32,218773869#5,218773869#6,2.396,normal
ER_ACC_006,33,218773869#6,218773869#7,5.435,normal
ER_ACC_006,34,218773869#7,218773869#8,20.278,normal
ER_ACC_006,35,218773869#8,219696193#0,7.83,normal
ER_ACC_006,36,219696193#0,219696193#1,0.251,normal
ER_ACC_006,37,219696193#1,-228796091#4,89.332,normal
ER_ACC_006,38,-228796091#4,-228796091#1,7.938,normal
ER_ACC_007,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_007,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_007,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_007,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_007,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_007,6,578313748#0,578313748#2,2.534,normal
ER_ACC_007,7,578313748#2,800229255,1.08,normal
ER_ACC_007,8,800229255,180368918#0,2.43,normal
ER_ACC_007,9,180368918#0,180368918#3,0.87,normal
ER_ACC_007,10,180368918#3,180368918#5,2.577,normal
ER_ACC_007,11,180368918#5,180368918#6,0.01,normal
