edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
781985792#3,3,2,1,S10 S9,downbound,,S10 S9,downbound,0.347826,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985793#0,2,2,0,S10,upbound,,S10,upbound,0.304348,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985793#1,2,2,0,S10 S11,upbound,,S10 S11,upbound,0.434783,compact_v9_one_edge_one_lane_target_mainroad_min_2
782892492#0,2,1,1,S11 S12,downbound,,S11 S12,downbound,0.714286,compact_v9_one_edge_one_lane_target_mainroad_min_2
782892492#1,2,1,1,S10 S11,downbound,,S10 S11,downbound,0.714286,compact_v9_one_edge_one_lane_target_mainroad_min_2
783692390#0,2,1,1,S12,downbound,,S12,downbound,0.772727,compact_v9_one_edge_one_lane_target_mainroad_min_2
783692390#1,2,1,1,S11,downbound,,S11,downbound,0.071429,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#0,2,2,0,S10 S9,downbound,,S10 S9,downbound,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#1,2,2,0,S10 S9,downbound,,S10 S9,downbound,0.163265,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#2,2,2,0,S9,downbound,,S9,downbound,0.44898,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#3,2,2,0,S9,downbound,,S9,downbound,0.204082,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#4,2,2,0,S9,downbound,,S9,downbound,0.183673,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#5,2,2,0,S9,downbound,,S9,downbound,0.244898,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#6,2,2,0,S9,downbound,,S9,downbound,0.204082,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#7,2,2,0,S9,downbound,,S9,downbound,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#8,2,2,0,S8 S9,downbound,,S8 S9,downbound,0.833333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#0,2,2,0,S7,upbound,,S7,upbound,0.305556,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#1,2,2,0,S7,upbound,,S7,upbound,0.222222,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#2,2,2,0,S7,upbound,,S7,upbound,0.583333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#3,2,2,0,S7 S8,upbound,,S7 S8,upbound,0.833333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130603,3,1,2,S6 S7,downbound,,S6 S7,downbound,0.194444,compact_v9_one_edge_one_lane_target_mainroad_min_2
800229255,3,2,1,S2 S3,upbound,,S2 S3,upbound,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
913372757,3,1,2,S15,upbound,,S15,upbound,0.166667,compact_v9_one_edge_one_lane_target_mainroad_min_2
913702834,2,1,1,S4 S5,upbound,,S4 S5,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
921117704#0,3,2,1,S16 S17,downbound,,S16 S17,downbound,0.333333,compact_v9_one_edge_one_lane_target_mainroad_min_2
955312947#1,3,1,2,S17,downbound,,S17,downbound,0.315789,compact_v9_one_edge_one_lane_target_mainroad_min_2
